frame,rootIndex,task,thread,startMs,endMs,durationMs,fitCalls,fitMs,pointwiseCalls,pointwiseMs
3,2,receiver_stage/2,2,7.145379,7.354315,0.208936,6,0.096222,0,0.0
3,9,receiver_stage/2,2,7.354625,8.836345,1.48172,7,0.996897,1,0.36376
3,24,receiver_stage/2,2,8.836385,9.093948,0.257563,7,0.177971,0,0.0
3,32,receiver_stage/2,2,9.094058,9.215591,0.121533,4,0.086963,0,0.0
3,37,receiver_stage/2,2,9.215621,10.100145,0.884524,7,0.479563,1,0.328449
3,45,receiver_stage/2,2,10.100195,10.601899,0.501704,7,0.426353,0,0.0
3,54,receiver_stage/2,2,10.601929,11.127153,0.525224,7,0.4534,0,0.0
3,60,receiver_stage/2,2,11.127343,11.221396,0.094053,7,0.048702,0,0.0
3,64,receiver_stage/2,2,11.221426,11.359209,0.137783,7,0.083302,0,0.0
3,69,receiver_stage/2,2,11.359319,11.588676,0.229357,7,0.149912,0,0.0
3,74,receiver_stage/2,2,11.588716,11.994617,0.405901,7,0.35738,0,0.0
3,83,receiver_stage/2,2,11.994667,12.312915,0.318248,7,0.283257,0,0.0
3,93,receiver_stage/2,2,12.312945,12.4723,0.159355,7,0.063762,0,0.0
3,95,receiver_stage/2,2,12.47241,12.594553,0.122143,7,0.079452,0,0.0
3,101,receiver_stage/2,2,12.594653,12.886491,0.291838,7,0.163284,0,0.0
3,104,receiver_stage/2,2,12.886631,12.947433,0.060802,5,0.015802,0,0.0
3,107,receiver_stage/2,2,12.947723,13.304422,0.356699,7,0.312069,0,0.0
3,120,receiver_stage/2,2,13.304582,13.693683,0.389101,7,0.342898,0,0.0
3,127,receiver_stage/2,2,13.693733,14.006072,0.312339,7,0.259335,0,0.0
3,134,receiver_stage/2,2,14.006262,14.349031,0.342769,7,0.301098,0,0.0
3,142,receiver_stage/2,2,14.349061,14.586187,0.237126,7,0.154624,0,0.0
3,148,receiver_stage/2,2,14.586517,18.308059,3.721542,1,0.204035,1,3.506466
3,3,receiver_stage/3,3,7.155895,7.251578,0.095683,4,0.02834,0,0.0
3,8,receiver_stage/3,3,7.251618,11.160364,3.908746,2,0.578644,1,3.31021
3,61,receiver_stage/3,3,11.160414,11.261206,0.100792,7,0.055801,0,0.0
3,65,receiver_stage/3,3,11.261237,11.628697,0.36746,7,0.308228,0,0.0
3,75,receiver_stage/3,3,11.628757,11.792561,0.163804,7,0.083782,0,0.0
3,77,receiver_stage/3,3,11.792591,12.011517,0.218926,7,0.147164,0,0.0
3,84,receiver_stage/3,3,12.011557,12.12548,0.113923,7,0.055792,0,0.0
3,90,receiver_stage/3,3,12.12551,12.50063,0.37512,7,0.323377,0,0.0
3,96,receiver_stage/3,3,12.50069,12.703646,0.202956,7,0.078552,0,0.0
3,103,receiver_stage/3,3,12.703736,13.888078,1.184342,6,0.612927,1,0.501884
3,131,receiver_stage/3,3,13.888148,14.147415,0.259267,7,0.214936,0,0.0
3,137,receiver_stage/3,3,14.147445,14.389622,0.242177,7,0.176415,0,0.0
3,144,receiver_stage/3,3,14.389662,14.761552,0.37189,7,0.288269,0,0.0
3,152,receiver_stage/3,3,14.761602,15.085821,0.324219,7,0.277787,0,0.0
3,156,receiver_stage/3,3,15.085851,15.587785,0.501934,7,0.424252,0,0.0
3,4,receiver_stage/4,4,7.17237,7.407176,0.234806,6,0.153103,0,0.0
3,10,receiver_stage/4,4,7.407717,8.549508,1.141791,7,0.670968,1,0.36307
3,18,receiver_stage/4,4,8.549668,8.909437,0.359769,7,0.302757,0,0.0
3,27,receiver_stage/4,4,8.909497,9.079852,0.170355,4,0.134553,0,0.0
3,30,receiver_stage/4,4,9.079892,9.213446,0.133554,4,0.068552,0,0.0
3,35,receiver_stage/4,4,9.213476,9.304678,0.091202,4,0.064782,0,0.0
3,39,receiver_stage/4,4,9.304718,9.483103,0.178385,7,0.126874,0,0.0
3,40,receiver_stage/4,4,9.483123,9.625817,0.142694,7,0.095313,0,0.0
3,41,receiver_stage/4,4,9.625847,9.801512,0.175665,7,0.136733,0,0.0
3,43,receiver_stage/4,4,9.801542,10.151671,0.350129,7,0.277157,0,0.0
3,46,receiver_stage/4,4,10.151711,10.645505,0.493794,7,0.435592,0,0.0
3,55,receiver_stage/4,4,10.645635,11.277062,0.631427,7,0.516783,0,0.0
3,67,receiver_stage/4,4,11.277162,12.118305,0.841143,7,0.659497,1,0.112643
3,89,receiver_stage/4,4,12.118345,12.575747,0.457402,7,0.409981,0,0.0
3,100,receiver_stage/4,4,12.575857,12.948437,0.37258,7,0.316739,0,0.0
3,108,receiver_stage/4,4,12.948787,13.254806,0.306019,7,0.260956,0,0.0
3,117,receiver_stage/4,4,13.255266,13.815191,0.559925,7,0.505004,0,0.0
3,129,receiver_stage/4,4,13.815441,13.937814,0.122373,7,0.078881,0,0.0
3,133,receiver_stage/4,4,13.937905,14.350136,0.412231,7,0.37139,0,0.0
3,143,receiver_stage/4,4,14.350176,14.619903,0.269727,7,0.133912,0,0.0
3,150,receiver_stage/4,4,14.620003,15.211729,0.591726,7,0.515135,0,0.0
3,159,receiver_stage/4,4,15.211789,15.391424,0.179635,7,0.139873,0,0.0
3,1,receiver_stage/1,5,7.125693,7.497434,0.371741,7,0.232528,0,0.0
3,11,receiver_stage/1,5,7.497504,7.909655,0.412151,7,0.351709,0,0.0
3,13,receiver_stage/1,5,7.909685,8.200733,0.291048,7,0.263828,0,0.0
3,15,receiver_stage/1,5,8.200813,8.628994,0.428181,7,0.374419,0,0.0
3,20,receiver_stage/1,5,8.629015,8.777359,0.148344,7,0.117442,0,0.0
3,23,receiver_stage/1,5,8.777449,8.961994,0.184545,7,0.150482,0,0.0
3,29,receiver_stage/1,5,8.962054,9.111028,0.148974,7,0.085333,0,0.0
3,33,receiver_stage/1,5,9.111058,9.21365,0.102592,7,0.067302,0,0.0
3,36,receiver_stage/1,5,9.213681,13.089736,3.876055,2,0.620956,2,3.236299
3,113,receiver_stage/1,5,13.090166,13.22252,0.132354,7,0.079892,0,0.0
3,116,receiver_stage/1,5,13.22273,13.471417,0.248687,7,0.167436,0,0.0
3,122,receiver_stage/1,5,13.471517,13.58121,0.109693,7,0.059841,0,0.0
3,124,receiver_stage/1,5,13.58124,13.843777,0.262537,7,0.186153,0,0.0
3,130,receiver_stage/1,5,13.843827,13.935459,0.091632,7,0.050021,0,0.0
3,132,receiver_stage/1,5,13.935489,14.299549,0.36406,7,0.324568,0,0.0
3,140,receiver_stage/1,5,14.299609,14.541386,0.241777,7,0.156734,0,0.0
3,147,receiver_stage/1,5,14.541426,15.092671,0.551245,7,0.474065,0,0.0
3,157,receiver_stage/1,5,15.092781,15.204344,0.111563,7,0.066191,0,0.0
3,158,receiver_stage/1,5,15.204444,15.292756,0.088312,7,0.061482,0,0.0
3,6,receiver_stage/6,6,7.208451,8.759443,1.550992,6,1.195772,1,0.228477
3,22,receiver_stage/6,6,8.759483,8.890617,0.131134,7,0.10296,0,0.0
3,26,receiver_stage/6,6,8.890727,9.127363,0.236636,7,0.165114,0,0.0
3,34,receiver_stage/6,6,9.127483,9.235756,0.108273,7,0.072582,0,0.0
3,38,receiver_stage/6,6,9.235796,10.157031,0.921235,7,0.519154,1,0.317528
3,47,receiver_stage/6,6,10.157071,10.318186,0.161115,4,0.107003,0,0.0
3,48,receiver_stage/6,6,10.318216,10.429329,0.111113,7,0.074872,0,0.0
3,50,receiver_stage/6,6,10.429359,10.533542,0.104183,7,0.06153,0,0.0
3,52,receiver_stage/6,6,10.533572,10.82621,0.292638,7,0.199715,0,0.0
3,58,receiver_stage/6,6,10.82624,11.179789,0.353549,7,0.295468,0,0.0
3,62,receiver_stage/6,6,11.179849,11.402615,0.222766,7,0.186003,0,0.0
3,71,receiver_stage/6,6,11.402646,11.56122,0.158574,7,0.05353,0,0.0
3,73,receiver_stage/6,6,11.56125,11.684413,0.123163,7,0.054823,0,0.0
3,76,receiver_stage/6,6,11.684443,11.877578,0.193135,7,0.1162,0,0.0
3,80,receiver_stage/6,6,11.877608,11.982031,0.104423,7,0.068162,0,0.0
3,82,receiver_stage/6,6,11.982071,12.097074,0.115003,7,0.069231,0,0.0
3,88,receiver_stage/6,6,12.097105,12.426423,0.329318,7,0.287495,0,0.0
3,94,receiver_stage/6,6,12.426554,12.574167,0.147613,7,0.063061,0,0.0
3,99,receiver_stage/6,6,12.574497,13.04562,0.471123,7,0.414489,0,0.0
3,111,receiver_stage/6,6,13.04569,13.172664,0.126974,7,0.072842,0,0.0
3,114,receiver_stage/6,6,13.172934,13.267816,0.094882,7,0.04618,0,0.0
3,118,receiver_stage/6,6,13.267866,13.76849,0.500624,7,0.44843,0,0.0
3,128,receiver_stage/6,6,13.76855,14.248873,0.480323,7,0.425491,0,0.0
3,138,receiver_stage/6,6,14.248903,14.402487,0.153584,7,0.092453,0,0.0
3,146,receiver_stage/6,6,14.402517,14.675925,0.273408,7,0.192725,0,0.0
3,151,receiver_stage/6,6,14.675945,15.2509,0.574955,7,0.502202,0,0.0
3,7,receiver_stage/7,7,7.219066,10.918167,3.699101,3,0.501583,1,3.153346
3,59,receiver_stage/7,7,10.918317,11.360584,0.442267,7,0.377056,0,0.0
3,70,receiver_stage/7,7,11.360624,11.55265,0.192026,7,0.075822,0,0.0
3,72,receiver_stage/7,7,11.55269,11.807797,0.255107,7,0.206676,0,0.0
3,79,receiver_stage/7,7,11.807907,12.057313,0.249406,7,0.183344,0,0.0
3,87,receiver_stage/7,7,12.057344,12.504836,0.447492,7,0.407492,0,0.0
3,97,receiver_stage/7,7,12.504936,12.928137,0.423201,7,0.359559,0,0.0
3,106,receiver_stage/7,7,12.928197,13.03884,0.110643,7,0.068342,0,0.0
3,110,receiver_stage/7,7,13.03898,13.428681,0.389701,7,0.350851,0,0.0
3,121,receiver_stage/7,7,13.428821,13.569025,0.140204,7,0.083952,0,0.0
3,123,receiver_stage/7,7,13.569055,14.290304,0.721249,7,0.648537,0,0.0
3,139,receiver_stage/7,7,14.290374,14.392157,0.101783,7,0.05636,0,0.0
3,145,receiver_stage/7,7,14.392457,14.891961,0.499504,7,0.445232,0,0.0
3,153,receiver_stage/7,7,14.892021,15.074546,0.182525,7,0.111693,0,0.0
3,155,receiver_stage/7,7,15.074676,15.408825,0.334149,7,0.286097,0,0.0
3,5,receiver_stage/5,8,7.193365,8.341586,1.148221,7,0.767402,1,0.236256
3,17,receiver_stage/5,8,8.341806,8.87409,0.532284,7,0.475034,0,0.0
3,25,receiver_stage/5,8,8.87422,9.092792,0.218572,6,0.115492,0,0.0
3,31,receiver_stage/5,8,9.092892,9.783101,0.690209,7,0.382659,1,0.239986
3,42,receiver_stage/5,8,9.783181,10.027978,0.244797,7,0.170275,0,0.0
3,44,receiver_stage/5,8,10.028038,10.693836,0.665798,7,0.588366,0,0.0
3,56,receiver_stage/5,8,10.693896,11.20674,0.512844,7,0.455783,0,0.0
3,63,receiver_stage/5,8,11.20677,11.328663,0.121893,7,0.065682,0,0.0
3,68,receiver_stage/5,8,11.328693,11.805516,0.476823,7,0.406932,0,0.0
3,78,receiver_stage/5,8,11.805546,12.019882,0.214336,7,0.145154,0,0.0
3,85,receiver_stage/5,8,12.019932,12.166526,0.146594,7,0.102432,0,0.0
3,92,receiver_stage/5,8,12.166556,12.636899,0.470343,7,0.424249,0,0.0
3,102,receiver_stage/5,8,12.636929,12.907716,0.270787,7,0.149842,0,0.0
3,105,receiver_stage/5,8,12.907766,13.020329,0.112563,7,0.070012,0,0.0
3,109,receiver_stage/5,8,13.020649,13.278256,0.257607,7,0.222996,0,0.0
3,119,receiver_stage/5,8,13.278286,13.689367,0.411081,7,0.351268,0,0.0
3,126,receiver_stage/5,8,13.689407,14.13465,0.445243,7,0.38943,0,0.0
3,136,receiver_stage/5,8,14.13468,14.337365,0.202685,7,0.134523,0,0.0
3,141,receiver_stage/5,8,14.337395,14.604292,0.266897,7,0.196815,0,0.0
3,149,receiver_stage/5,8,14.604543,14.958052,0.353509,7,0.285346,0,0.0
3,154,receiver_stage/5,8,14.958602,15.433895,0.475293,7,0.396572,0,0.0
3,0,receiver_stage/0,9,7.122819,7.677334,0.554515,4,0.425352,0,0.0
3,12,receiver_stage/0,9,7.677874,7.940631,0.262757,7,0.222435,0,0.0
3,14,receiver_stage/0,9,7.940901,8.26279,0.321889,7,0.280708,0,0.0
