frame,phase,task,thread,startMs,endMs,durationMs
3,view_projection,view_projection/1,2,0.076247,3.32342,3.247173
3,view_projection,view_projection/4,3,0.128648,3.218292,3.089644
3,view_projection,view_projection/3,4,0.111017,3.237922,3.126905
3,view_projection,view_projection/2,5,0.093712,3.375156,3.281444
3,view_projection,view_projection/7,6,0.169685,3.142441,2.972756
3,view_projection,view_projection/5,7,0.139168,3.155545,3.016377
3,view_projection,view_projection/0,8,0.05959,3.056162,2.996572
3,view_projection,view_projection/6,9,0.156005,3.418343,3.262338
3,view_scores,view_scores/5,2,3.602759,5.660895,2.058136
3,view_scores,view_scores/3,3,3.563687,5.989773,2.426086
3,view_scores,view_scores/4,4,3.577872,6.011628,2.433756
3,view_scores,view_scores/6,5,3.607477,5.643232,2.035755
3,view_scores,view_scores/1,6,3.537451,6.200404,2.662953
3,view_scores,view_scores/2,7,3.552171,6.277305,2.725134
3,view_scores,view_scores/0,8,3.5148,6.168412,2.653612
3,view_scores,view_scores/7,9,3.625909,5.47448,1.848571
3,receiver_stage,receiver_stage/2,2,7.143379,18.308209,11.16483
3,receiver_stage,receiver_stage/3,3,7.154295,15.587935,8.43364
3,receiver_stage,receiver_stage/4,4,7.17028,15.391554,8.221274
3,receiver_stage,receiver_stage/1,5,7.124013,15.293476,8.169463
3,receiver_stage,receiver_stage/6,6,7.205201,15.251,8.045799
3,receiver_stage,receiver_stage/7,7,7.217716,15.408975,8.191259
3,receiver_stage,receiver_stage/5,8,7.191225,15.434055,8.24283
3,receiver_stage,receiver_stage/0,9,7.120239,18.643518,11.523279
3,face_fill,face_fill/0,6,20.1882,20.18932,0.00112
3,face_fill,face_fill/1,6,20.19014,20.19025,0.00011
3,face_fill,face_fill/2,6,20.1904,20.19046,6e-05
3,face_fill,face_fill/3,6,20.19059,20.19065,6e-05
3,face_fill,face_fill/4,6,20.19478,20.19484,6e-05
3,face_fill,face_fill/5,6,20.19502,20.19508,6e-05
3,face_fill,face_fill/6,6,20.19513,20.19525,0.00012
3,face_fill,face_fill/7,6,20.19531,20.19537,6e-05
3,mesh_fill,mesh_fill/0,6,21.879656,21.882626,0.00297
3,mesh_fill,mesh_fill/1,6,21.883606,21.884216,0.00061
3,mesh_fill,mesh_fill/2,6,21.884266,21.884476,0.00021
3,mesh_fill,mesh_fill/3,6,21.884526,21.884666,0.00014
3,mesh_fill,mesh_fill/4,6,21.884716,21.884836,0.00012
3,mesh_fill,mesh_fill/5,6,21.885126,21.885236,0.00011
3,mesh_fill,mesh_fill/6,6,21.885286,21.885696,0.00041
3,mesh_fill,mesh_fill/7,6,21.885817,21.885966,0.000149
4,view_projection,view_projection/6,2,0.136454,3.771353,3.634899
4,view_projection,view_projection/5,3,0.119368,4.577155,4.457787
4,view_projection,view_projection/2,4,0.082462,4.296257,4.213795
4,view_projection,view_projection/1,5,0.065501,4.831611,4.76611
4,view_projection,view_projection/0,6,0.050456,4.451756,4.4013
4,view_projection,view_projection/3,7,0.091522,3.483264,3.391742
4,view_projection,view_projection/4,8,0.106577,3.853805,3.747228
4,view_projection,view_projection/7,9,0.15478,4.341083,4.186303
4,view_scores,view_scores/1,2,4.938489,7.389476,2.450987
4,view_scores,view_scores/6,3,5.025543,6.651427,1.625884
4,view_scores,view_scores/3,4,4.967005,7.357475,2.39047
4,view_scores,view_scores/7,5,5.042258,6.410275,1.368017
4,view_scores,view_scores/5,6,4.995786,7.137225,2.141439
4,view_scores,view_scores/0,7,4.9323,7.404817,2.472517
4,view_scores,view_scores/2,8,4.951405,7.427282,2.475877
4,view_scores,view_scores/4,9,4.982302,6.76787,1.785568
4,receiver_stage,receiver_stage/5,2,7.954687,16.733371,8.778684
4,receiver_stage,receiver_stage/1,3,7.897335,16.772382,8.875047
4,receiver_stage,receiver_stage/4,4,7.935931,16.974302,9.038371
4,receiver_stage,receiver_stage/0,5,7.883365,17.034504,9.151139
4,receiver_stage,receiver_stage/3,6,7.934496,16.815419,8.880923
4,receiver_stage,receiver_stage/6,7,7.966937,16.752827,8.78589
4,receiver_stage,receiver_stage/7,8,7.991258,16.756237,8.764979
4,receiver_stage,receiver_stage/2,9,7.910726,17.462596,9.55187
4,face_fill,face_fill/0,2,19.457141,19.458221,0.00108
4,face_fill,face_fill/1,2,19.458821,19.458881,6e-05
4,face_fill,face_fill/2,2,19.459071,19.459231,0.00016
4,face_fill,face_fill/3,2,19.459301,19.459391,9e-05
4,face_fill,face_fill/4,2,19.459691,19.459761,7e-05
4,face_fill,face_fill/5,2,19.459811,19.459881,7e-05
4,face_fill,face_fill/6,2,19.460691,19.460831,0.00014
4,face_fill,face_fill/7,2,19.465321,19.465401,8e-05
4,mesh_fill,mesh_fill/0,2,20.960866,20.962787,0.001921
4,mesh_fill,mesh_fill/1,2,20.963467,20.963667,0.0002
4,mesh_fill,mesh_fill/2,2,20.963727,20.963977,0.00025
4,mesh_fill,mesh_fill/3,2,20.964027,20.964177,0.00015
4,mesh_fill,mesh_fill/4,2,20.964237,20.964347,0.00011
4,mesh_fill,mesh_fill/5,2,20.964397,20.964527,0.00013
