case,system,event,metric,statistic,beforeMs,afterMs,deltaMs,relative
dem-sierra-L,linux,recovery,cpuMs,mean,0.37100535177160054,0.3976813746849075,0.02667602291330695,0.07190198951558346
dem-sierra-L,linux,recovery,cpuMs,median,0.059306999668478966,0.06561199948191643,0.006304999813437462,0.10631122546549099
dem-sierra-L,linux,recovery,cpuMs,p95,0.2389128983020782,0.13054545149207114,-0.10836744681000707,-0.4535855852913757
dem-sierra-L,linux,recovery,cpuMs,max,9.442723274230957,10.54195499420166,1.0992317199707031,0.11641045576020304
dem-sierra-L,linux,recovery,viewMs,mean,0.2510200625,0.2749000625,0.023880000000000012,0.09513183831670835
dem-sierra-L,linux,recovery,viewMs,median,0.0,0.0,0.0,
dem-sierra-L,linux,recovery,viewMs,p95,0.0,0.0,0.0,
dem-sierra-L,linux,recovery,viewMs,max,8.032642,8.796802,0.7641600000000004,0.09513183831670835
dem-sierra-L,linux,recovery,receiverMs,mean,0.03872175,0.04321853125,0.004496781249999998,0.11613063071787821
dem-sierra-L,linux,recovery,receiverMs,median,0.0,0.0,0.0,
dem-sierra-L,linux,recovery,receiverMs,p95,0.0,0.0,0.0,
dem-sierra-L,linux,recovery,receiverMs,max,1.239096,1.382993,0.14389699999999994,0.11613063071787821
dem-sierra-L,linux,recovery,donorMs,mean,0.0,0.0,0.0,
dem-sierra-L,linux,recovery,donorMs,median,0.0,0.0,0.0,
dem-sierra-L,linux,recovery,donorMs,p95,0.0,0.0,0.0,
dem-sierra-L,linux,recovery,donorMs,max,0.0,0.0,0.0,
dem-sierra-L,linux,recovery,reservationMs,mean,5.3124999999999995e-06,1.2499999999999999e-05,7.187499999999999e-06,1.3529411764705883
dem-sierra-L,linux,recovery,reservationMs,median,0.0,0.0,0.0,
dem-sierra-L,linux,recovery,reservationMs,p95,0.0,0.0,0.0,
dem-sierra-L,linux,recovery,reservationMs,max,0.00016999999999999999,0.00039999999999999996,0.00022999999999999998,1.3529411764705883
dem-sierra-L,linux,recovery,sampleRepairMs,mean,0.0,0.0,0.0,
dem-sierra-L,linux,recovery,sampleRepairMs,median,0.0,0.0,0.0,
dem-sierra-L,linux,recovery,sampleRepairMs,p95,0.0,0.0,0.0,
dem-sierra-L,linux,recovery,sampleRepairMs,max,0.0,0.0,0.0,
dem-sierra-L,linux,return,cpuMs,mean,17.455383092164993,17.474858045578003,0.019474953413009644,0.001115698997276704
dem-sierra-L,linux,return,cpuMs,median,17.310710906982422,17.304683685302734,-0.0060272216796875,-0.0003481787496812938
dem-sierra-L,linux,return,cpuMs,p95,23.62270288467407,22.933336830139158,-0.6893660545349114,-0.029182353005936412
dem-sierra-L,linux,return,cpuMs,max,28.329835891723633,29.552827835083008,1.222991943359375,0.04316975036613835
dem-sierra-L,linux,return,viewMs,mean,7.19342409375,7.32839721875,0.13497312500000014,0.018763404359444236
dem-sierra-L,linux,return,viewMs,median,7.288661,7.284421,-0.004240000000000244,-0.0005817255048630177
dem-sierra-L,linux,return,viewMs,p95,7.998615999999999,8.3471979,0.3485819000000001,0.04358027688790167
dem-sierra-L,linux,return,viewMs,max,8.234229,9.289706,1.0554770000000016,0.12818164275003796
