case,system,event,metric,statistic,beforeMs,afterMs,deltaMs,relative
dem-canyon-P,linux,recovery,cpuMs,mean,1.4553646203130484,1.4520501988008618,-0.0033144215121865273,-0.0022773822215587103
dem-canyon-P,linux,recovery,cpuMs,median,0.684548020362854,0.5768809914588928,-0.10766702890396118,-0.15728192281805276
dem-canyon-P,linux,recovery,cpuMs,p95,2.580604577064511,2.688293951749799,0.10768937468528783,0.04173028895724373
dem-canyon-P,linux,recovery,cpuMs,max,23.86106300354004,25.855804443359375,1.994741439819336,0.08359817999405128
dem-canyon-P,linux,recovery,viewMs,mean,0.30064346875,0.36380421875,0.06316075000000004,0.2100852224151304
dem-canyon-P,linux,recovery,viewMs,median,0.0,0.0,0.0,
dem-canyon-P,linux,recovery,viewMs,p95,0.0,0.0,0.0,
dem-canyon-P,linux,recovery,viewMs,max,9.620591,11.641735,2.0211440000000014,0.2100852224151304
dem-canyon-P,linux,recovery,receiverMs,mean,0.30323512500000005,0.31356096875,0.010325843749999952,0.03405226802139083
dem-canyon-P,linux,recovery,receiverMs,median,0.0,0.0,0.0,
dem-canyon-P,linux,recovery,receiverMs,p95,2.050424549999997,2.1416908499999967,0.09126629999999958,0.044510928236788594
dem-canyon-P,linux,recovery,receiverMs,max,5.147025,5.2746379999999995,0.1276129999999993,0.02479354578615789
dem-canyon-P,linux,recovery,donorMs,mean,0.20162325,0.18535471874999998,-0.016268531250000023,-0.08068777410343309
dem-canyon-P,linux,recovery,donorMs,median,0.0,0.0,0.0,
dem-canyon-P,linux,recovery,donorMs,p95,0.0,0.0,0.0,
dem-canyon-P,linux,recovery,donorMs,max,6.451944,5.931350999999999,-0.5205930000000007,-0.08068777410343309
dem-canyon-P,linux,recovery,reservationMs,mean,0.00464075,0.004191375,-0.0004493750000000001,-0.0968324085546518
dem-canyon-P,linux,recovery,reservationMs,median,0.0,0.0,0.0,
dem-canyon-P,linux,recovery,reservationMs,p95,6.29999999999999e-05,0.00015749999999999976,9.449999999999986e-05,1.5
dem-canyon-P,linux,recovery,reservationMs,max,0.148364,0.133774,-0.014589999999999992,-0.09833921975681426
dem-canyon-P,linux,recovery,sampleRepairMs,mean,0.04574384375,0.05443834375,0.0086945,0.19006929211102852
dem-canyon-P,linux,recovery,sampleRepairMs,median,0.0,0.0,0.0,
dem-canyon-P,linux,recovery,sampleRepairMs,p95,0.0,0.0,0.0,
dem-canyon-P,linux,recovery,sampleRepairMs,max,1.463803,1.742027,0.278224,0.19006929211102852
dem-canyon-P,linux,return,cpuMs,mean,30.733704030513763,29.331277072429657,-1.4024269580841064,-0.045631563207992
dem-canyon-P,linux,return,cpuMs,median,31.360069274902344,29.86092758178711,-1.4991416931152344,-0.04780415757292367
dem-canyon-P,linux,return,cpuMs,p95,37.493175697326656,33.56070117950439,-3.932474517822264,-0.10488507427506755
dem-canyon-P,linux,return,cpuMs,max,39.392608642578125,36.27926254272461,-3.1133460998535156,-0.07903376311281929
dem-canyon-P,linux,return,viewMs,mean,10.5545215,10.51819084375,-0.03633065624999965,-0.003442188852426864
dem-canyon-P,linux,return,viewMs,median,10.6063225,10.5627025,-0.04361999999999888,-0.004112641304278575
dem-canyon-P,linux,return,viewMs,p95,11.34539135,11.81506615,0.46967479999999995,0.04139784918040745
dem-canyon-P,linux,return,viewMs,max,16.772758,12.064995999999999,-4.707762000000001,-0.2806790630378141
dem-canyon-P,linux,return,receiverMs,mean,15.6370248125,14.40927059375,-1.2277542187500003,-0.07851584514776444
dem-canyon-P,linux,return,receiverMs,median,16.2798005,15.2003515,-1.0794490000000003,-0.06630603366423315
