scene,variant,phase,metric,mean,median,p95,max
dem-sierra,S0,moving,cpuMs,169.65523344894936,168.6123046875,219.3695068359375,231.3459930419922
dem-sierra,S0,moving,viewMs,10.974893103448276,11.2366,11.919,11.971300000000001
dem-sierra,S0,moving,receiverMs,129.1734068965517,123.2047,178.1325,178.1386
dem-sierra,S0,moving,donorMs,0.0,0.0,0.0,0.0
dem-sierra,S0,moving,reservationMs,0.5186620689655173,0.5012000000000001,0.9652000000000001,1.1607
dem-sierra,S0,moving,sampleRepairMs,22.668975862068965,23.4958,34.0081,36.1214
dem-sierra,S0,moving,topologyPrepareMs,1.0296206896551725,1.0008000000000001,1.6154,1.8661
dem-sierra,S0,moving,topologyPublishMs,0.16405172413793104,0.155,0.3079,0.3232
dem-sierra,S0,moving,meshPrepareMs,0.06317931034482759,0.0599,0.0993,0.101
dem-sierra,S0,return,cpuMs,124.32819437980652,121.64365005493164,155.50360107421875,156.4882049560547
dem-sierra,S0,return,viewMs,11.347509375,11.67175,12.6865,12.7114
dem-sierra,S0,return,receiverMs,104.806140625,100.2732,140.0112,140.8581
dem-sierra,S0,return,donorMs,0.0,0.0,0.0,0.0
dem-sierra,S0,return,reservationMs,0.1449125,0.08995,0.5674,0.9828
dem-sierra,S0,return,sampleRepairMs,6.21166875,4.24055,24.6558,33.4204
dem-sierra,S0,return,topologyPrepareMs,0.3459125,0.22820000000000001,1.5283,1.9886000000000001
dem-sierra,S0,return,topologyPublishMs,0.04960625,0.03435,0.1487,0.352
dem-sierra,S0,return,meshPrepareMs,0.037309375,0.0323,0.0644,0.0688
dem-sierra,S0,static,cpuMs,18.04014078131877,0.05504999868571758,98.27330017089844,106.6322021484375
dem-sierra,S0,static,viewMs,0.386921875,0.0,0.0,12.3815
dem-sierra,S0,static,receiverMs,17.2892375,0.0,92.46119999999999,94.55460000000001
dem-sierra,S0,static,donorMs,0.0,0.0,0.0,0.0
dem-sierra,S0,static,reservationMs,0.00615625,0.0,0.0535,0.0998
dem-sierra,S0,static,sampleRepairMs,0.22572499999999998,0.0,2.384,2.8575
dem-sierra,S0,static,topologyPrepareMs,0.01886875,0.0,0.1818,0.1997
dem-sierra,S0,static,topologyPublishMs,0.002853125,0.0,0.0237,0.039400000000000004
dem-sierra,S0,static,meshPrepareMs,0.005059375,0.0,0.0343,0.0526
dem-sierra,S1,moving,cpuMs,162.59235250538794,161.1531982421875,207.1082000732422,219.27149963378906
dem-sierra,S1,moving,viewMs,10.322786206896552,10.4836,11.358500000000001,11.883
dem-sierra,S1,moving,receiverMs,124.26357586206898,119.05300000000001,168.35430000000002,169.3282
dem-sierra,S1,moving,donorMs,0.0,0.0,0.0,0.0
dem-sierra,S1,moving,reservationMs,0.5362137931034483,0.522,0.8359,1.0468000000000002
dem-sierra,S1,moving,sampleRepairMs,21.494555172413794,22.673,32.1121,33.0625
dem-sierra,S1,moving,topologyPrepareMs,0.996651724137931,0.9228,1.4183,1.5534
dem-sierra,S1,moving,topologyPublishMs,0.15497241379310345,0.15330000000000002,0.2825,0.28850000000000003
dem-sierra,S1,moving,meshPrepareMs,0.06059655172413793,0.0555,0.0864,0.0931
dem-sierra,S1,return,cpuMs,120.78528642654419,120.58524703979492,151.88609313964844,153.03709411621094
dem-sierra,S1,return,viewMs,10.779609375,10.76925,12.5036,12.6345
dem-sierra,S1,return,receiverMs,102.45151875,100.40545,137.2071,137.9864
dem-sierra,S1,return,donorMs,0.0,0.0,0.0,0.0
dem-sierra,S1,return,reservationMs,0.142771875,0.0948,0.5005,0.9639
dem-sierra,S1,return,sampleRepairMs,5.63170625,4.0764499999999995,19.0056,31.0065
dem-sierra,S1,return,topologyPrepareMs,0.32984375,0.2329,1.0037,1.832
dem-sierra,S1,return,topologyPublishMs,0.056615625,0.0363,0.2257,0.2837
dem-sierra,S1,return,meshPrepareMs,0.040834375,0.034850000000000006,0.0821,0.0957
dem-sierra,S1,static,cpuMs,17.7062031715177,0.06054999865591526,93.11199951171875,107.51300048828125
dem-sierra,S1,static,viewMs,0.383078125,0.0,0.0,12.2585
dem-sierra,S1,static,receiverMs,16.976596875,0.0,91.7025,91.8992
dem-sierra,S1,static,donorMs,0.0,0.0,0.0,0.0
dem-sierra,S1,static,reservationMs,0.0064,0.0,0.0553,0.1037
dem-sierra,S1,static,sampleRepairMs,0.20453749999999998,0.0,1.9388,2.7142999999999997
dem-sierra,S1,static,topologyPrepareMs,0.017696875,0.0,0.1467,0.2129
dem-sierra,S1,static,topologyPublishMs,0.002853125,0.0,0.0229,0.039
dem-sierra,S1,static,meshPrepareMs,0.00418125,0.0,0.0304,0.037
dem-sierra,S2,moving,cpuMs,110.58909357005152,120.57640075683594,155.85960388183594,164.8477020263672
dem-sierra,S2,moving,viewMs,10.176955172413793,9.9494,11.533,11.57
dem-sierra,S2,moving,receiverMs,72.27964137931035,77.1624,109.5102,119.3668
dem-sierra,S2,moving,donorMs,0.0,0.0,0.0,0.0
dem-sierra,S2,moving,reservationMs,0.5285413793103448,0.4919,1.0726,1.1116
dem-sierra,S2,moving,sampleRepairMs,21.500541379310345,22.7235,30.490099999999998,32.2556
dem-sierra,S2,moving,topologyPrepareMs,0.9477310344827586,0.955,1.4422,1.4846
dem-sierra,S2,moving,topologyPublishMs,0.14347241379310344,0.1416,0.2171,0.23149999999999998
dem-sierra,S2,moving,meshPrepareMs,0.05816896551724138,0.0563,0.0839,0.0839
dem-sierra,S2,return,cpuMs,53.38763105869293,48.61490058898926,87.13529968261719,132.90719604492188
dem-sierra,S2,return,viewMs,10.457178125,10.626,11.7376,12.005
dem-sierra,S2,return,receiverMs,35.2802375,33.02615,63.741099999999996,74.976
dem-sierra,S2,return,donorMs,0.0,0.0,0.0,0.0
dem-sierra,S2,return,reservationMs,0.134946875,0.09235,0.5005,0.9983
dem-sierra,S2,return,sampleRepairMs,5.676259375,3.75845,19.915200000000002,36.31
dem-sierra,S2,return,topologyPrepareMs,0.30155625,0.21375,1.0123,1.8042
dem-sierra,S2,return,topologyPublishMs,0.045096875,0.0326,0.1442,0.2725
dem-sierra,S2,return,meshPrepareMs,0.038615625,0.0345,0.0787,0.085
dem-sierra,S2,static,cpuMs,4.228375055943616,0.053050000220537186,30.775800704956055,34.63370132446289
dem-sierra,S2,static,viewMs,0.3655,0.0,0.0,11.696
dem-sierra,S2,static,receiverMs,3.530425,0.0,19.5139,28.1163
dem-sierra,S2,static,donorMs,0.0,0.0,0.0,0.0
dem-sierra,S2,static,reservationMs,0.005806250000000001,0.0,0.0536,0.09050000000000001
dem-sierra,S2,static,sampleRepairMs,0.19595625,0.0,1.8895,2.6568
dem-sierra,S2,static,topologyPrepareMs,0.016353125,0.0,0.13449999999999998,0.1945
dem-sierra,S2,static,topologyPublishMs,0.002353125,0.0,0.0187,0.0309
dem-sierra,S2,static,meshPrepareMs,0.003834375,0.0,0.027200000000000002,0.0318
dem-sierra,P0,moving,cpuMs,66.57774103098902,60.22159957885742,112.45050048828125,123.32740020751953
dem-sierra,P0,moving,viewMs,9.727389655172415,9.754900000000001,10.9178,11.071100000000001
dem-sierra,P0,moving,receiverMs,46.94786551724138,39.8545,88.8772,97.4674
dem-sierra,P0,moving,donorMs,0.0,0.0,0.0,0.0
dem-sierra,P0,moving,reservationMs,0.15237931034482757,0.1643,0.2894,0.3235
dem-sierra,P0,moving,sampleRepairMs,7.581093103448276,7.9836,13.6399,18.0075
dem-sierra,P0,moving,topologyPrepareMs,0.3180655172413793,0.3432,0.5680000000000001,0.6451
dem-sierra,P0,moving,topologyPublishMs,0.0487,0.0496,0.098,0.1178
dem-sierra,P0,moving,meshPrepareMs,0.0347,0.0344,0.0471,0.061500000000000006
dem-sierra,P0,return,cpuMs,40.978440284729004,34.97094917297363,78.64649963378906,91.89820098876953
dem-sierra,P0,return,viewMs,10.055778125,10.1617,10.992099999999999,11.1156
dem-sierra,P0,return,receiverMs,29.533296875,23.7086,67.4212,81.2581
dem-sierra,P0,return,donorMs,0.0,0.0,0.0,0.0
dem-sierra,P0,return,reservationMs,0.01815,0.00965,0.0631,0.0989
dem-sierra,P0,return,sampleRepairMs,0.96723125,0.8046500000000001,2.5957,4.0444
dem-sierra,P0,return,topologyPrepareMs,0.067275,0.061649999999999996,0.18100000000000002,0.1986
dem-sierra,P0,return,topologyPublishMs,0.00950625,0.00815,0.0244,0.0318
dem-sierra,P0,return,meshPrepareMs,0.020790625,0.025400000000000002,0.0471,0.050899999999999994
dem-sierra,P0,static,cpuMs,0.8533437518635765,0.043050000444054604,0.07580000162124634,25.8617000579834
dem-sierra,P0,static,viewMs,0.34828749999999997,0.0,0.0,11.145199999999999
dem-sierra,P0,static,receiverMs,0.454390625,0.0,0.0,14.5405
dem-sierra,P0,static,donorMs,0.0,0.0,0.0,0.0
dem-sierra,P0,static,reservationMs,6.2499999999999995e-06,0.0,0.0,0.00019999999999999998
dem-sierra,P0,static,sampleRepairMs,0.0,0.0,0.0,0.0
dem-sierra,P0,static,topologyPrepareMs,0.0,0.0,0.0,0.0
dem-sierra,P0,static,topologyPublishMs,0.0,0.0,0.0,0.0
dem-sierra,P0,static,meshPrepareMs,0.0,0.0,0.0,0.0
dem-canyon,S0,moving,cpuMs,107.09871068494073,112.58910369873047,125.29560089111328,126.84110260009766
dem-canyon,S0,moving,viewMs,15.530575862068966,15.8272,17.814799999999998,17.8932
dem-canyon,S0,moving,receiverMs,74.91073448275863,78.54759999999999,91.08800000000001,91.269
dem-canyon,S0,moving,donorMs,13.07403448275862,12.5007,16.6364,20.6051
dem-canyon,S0,moving,reservationMs,0.8178172413793103,0.6865,1.4153,1.6203999999999998
