frame,phase,frameMs,dispatchMs,taskSumMs,taskMaxMs,tasks,threads,waitMs,afterLastTaskMs,balanceRatio
3,view_projection,64.955671,4.022774,24.276995,3.954021,8,8,3.903927,0.036196,0.767478062205537
3,view_scores,64.955671,1.742401,10.946794,1.675574,8,8,1.621645,0.03439,0.8166450720767929
3,receiver_stage,64.955671,35.848698,268.760151,35.655446,8,8,35.685686,0.071462,0.9422128354529629
3,face_fill,64.955671,0.121336,0.00185,0.00124,8,1,0.00013,0.084365,0.18649193548387097
3,mesh_fill,64.955671,0.121546,0.024378,0.0058,8,2,0.00011,0.060547,0.5253879310344828
4,view_projection,63.629028,4.045111,27.832568,3.982578,8,8,3.918996,0.032425,0.8735725954394363
4,view_scores,63.629028,1.647153,10.982571,1.578264,8,8,1.519647,0.037231,0.8698299999239671
4,receiver_stage,63.629028,36.042226,260.911729,35.85989,8,8,35.880933,0.071063,0.909483161409586
4,face_fill,63.629028,0.139704,0.00189,0.00126,8,1,0.00014,0.098628,0.1875
4,mesh_fill,63.629028,0.123306,0.022197,0.005429,8,2,0.00012,0.063067,0.5110747835697182
5,view_projection,50.036605,3.745921,26.764344,3.588752,8,8,3.622784,0.035981,0.9322302014739386
5,view_scores,50.036605,1.943959,11.755135,1.836996,8,8,1.819253,0.035466,0.7998884455926958
5,receiver_stage,50.036605,28.041269,210.077347,27.922352,8,8,27.870447,0.068232,0.940453310487598
5,face_fill,50.036605,0.119237,0.001979,0.00123,8,1,0.00012,0.08398,0.20111788617886178
5,mesh_fill,50.036605,0.124736,0.019838,0.00494,8,2,0.00012,0.063018,0.5019736842105263
6,view_projection,52.666415,4.038902,24.077288,3.974269,8,8,3.917176,0.030546,0.7572866859289091
6,view_scores,52.666415,1.790427,11.381226,1.686563,8,8,1.670939,0.04251,0.8435221512626566
6,receiver_stage,52.666415,30.602289,220.515769,30.426354,8,8,30.434998,0.069277,0.9059406567411922
6,face_fill,52.666415,0.124576,0.00218,0.00138,8,1,0.00021,0.084625,0.19746376811594205
6,mesh_fill,52.666415,0.118856,0.021107,0.00529,8,2,0.00012,0.065786,0.4987476370510397
7,view_projection,40.123124,3.667783,25.291253,3.582833,8,8,3.530199,0.032917,0.8823762159721092
7,view_scores,40.123124,2.38985,15.032417,2.283497,8,8,2.262174,0.033641,0.8228835531642914
7,receiver_stage,40.123124,23.075655,172.306939,22.912613,8,8,22.912904,0.068807,0.9400223088916135
7,face_fill,40.123124,0.122296,0.00209,0.00117,8,1,0.00011,0.08556,0.22329059829059827
7,mesh_fill,40.123124,0.137954,0.020627,0.005779,8,1,0.00014,0.078841,0.4461628309396089
8,view_projection,41.274495,4.051901,24.692362,3.990867,8,8,3.930074,0.030672,0.7734021830344132
8,view_scores,41.274495,1.738752,11.096888,1.654606,8,8,1.612746,0.037166,0.8383331137442992
8,receiver_stage,41.274495,24.158464,175.063972,24.011216,8,8,24.001392,0.073961,0.9113656093052513
8,face_fill,41.274495,0.124856,0.006128,0.00456,8,1,0.00012,0.079176,0.16798245614035087
8,mesh_fill,41.274495,0.124836,0.011318,0.004199,8,1,9e-05,0.075697,0.33692545844248634
9,view_projection,43.502312,4.423899,25.465744,4.281145,8,8,4.307382,0.031166,0.7435436080768112
9,view_scores,43.502312,2.010707,12.594523,1.943175,8,8,1.89092,0.037265,0.8101768368777902
9,receiver_stage,43.502312,23.953331,172.323816,23.780352,8,8,23.793499,0.099602,0.9058098467171554
9,face_fill,43.502312,0.121607,0.00188,0.00122,8,1,0.00074,0.07944,0.19262295081967212
9,mesh_fill,43.502312,0.153503,0.012269,0.0048,8,1,0.00016,0.099938,0.31950520833333335
10,view_projection,32.611693,3.734537,24.761025,3.622351,8,8,3.60181,0.034598,0.8544528470598238
10,view_scores,32.611693,1.940334,13.005905,1.849965,8,8,1.808169,0.044056,0.8787939906971213
10,receiver_stage,32.611693,19.765417,149.119705,19.60159,8,8,19.601705,0.068512,0.9509413840918007
10,face_fill,32.611693,0.114727,0.00242,0.00124,8,1,7e-05,0.049064,0.24395161290322578
10,mesh_fill,32.611693,0.121277,0.008099,0.003269,8,1,0.00014,0.076037,0.3096895074946467
11,view_projection,34.825895,3.929809,28.032884,3.780239,8,8,3.793854,0.032073,0.9269547507445958
11,view_scores,34.825895,2.080239,13.648046,2.012646,8,8,1.945914,0.033551,0.8476432268764601
