frame,phase,task,thread,startMs,endMs,durationMs
3,view_projection,view_projection/2,2,0.074592,2.763713,2.689121
3,view_projection,view_projection/3,3,0.088205,2.622914,2.534709
3,view_projection,view_projection/5,4,0.113183,2.590278,2.477095
3,view_projection,view_projection/4,5,0.104029,2.638277,2.534248
3,view_projection,view_projection/6,6,0.129324,3.816275,3.686951
3,view_projection,view_projection/7,7,0.141279,3.937288,3.796009
3,view_projection,view_projection/1,8,0.060258,2.665099,2.604841
3,view_projection,view_projection/0,9,0.045785,3.999806,3.954021
3,view_scores,view_scores/4,2,4.127372,5.4049,1.277528
3,view_scores,view_scores/1,3,4.081632,5.456789,1.375157
3,view_scores,view_scores/0,4,4.069009,5.744583,1.675574
3,view_scores,view_scores/2,5,4.096895,5.462384,1.365489
3,view_scores,view_scores/5,6,4.138016,5.385117,1.247101
3,view_scores,view_scores/6,7,4.152714,5.613022,1.460308
3,view_scores,view_scores/3,8,4.113364,5.435577,1.322213
3,view_scores,view_scores/7,9,4.165996,5.38942,1.223424
3,receiver_stage,receiver_stage/2,2,6.193148,41.124757,34.931609
3,receiver_stage,receiver_stage/4,3,6.21911,38.501113,32.282003
3,receiver_stage,receiver_stage/7,4,6.267805,38.769749,32.501944
3,receiver_stage,receiver_stage/5,5,6.231569,40.887033,34.655464
3,receiver_stage,receiver_stage/0,6,6.160381,39.648476,33.488095
3,receiver_stage,receiver_stage/6,7,6.246325,41.901771,35.655446
3,receiver_stage,receiver_stage/3,8,6.203357,38.709925,32.506568
3,receiver_stage,receiver_stage/1,9,6.173585,38.912607,32.739022
3,face_fill,face_fill/0,3,46.728135,46.729375,0.00124
3,face_fill,face_fill/1,3,46.729805,46.729925,0.00012
3,face_fill,face_fill/2,3,46.729975,46.730055,8e-05
3,face_fill,face_fill/3,3,46.730225,46.730295,7e-05
3,face_fill,face_fill/4,3,46.730345,46.730435,9e-05
3,face_fill,face_fill/5,3,46.730485,46.730535,5e-05
3,face_fill,face_fill/6,3,46.730585,46.730735,0.00015
3,face_fill,face_fill/7,3,46.730785,46.730835,5e-05
3,mesh_fill,mesh_fill/0,3,63.987735,63.993424,0.005689
3,mesh_fill,mesh_fill/1,3,63.994134,63.996614,0.00248
3,mesh_fill,mesh_fill/2,3,63.996714,63.999004,0.00229
3,mesh_fill,mesh_fill/3,3,63.999094,64.001053,0.001959
3,mesh_fill,mesh_fill/5,3,64.001113,64.003213,0.0021
3,mesh_fill,mesh_fill/6,3,64.003343,64.005493,0.00215
3,mesh_fill,mesh_fill/7,3,64.010752,64.012662,0.00191
3,mesh_fill,mesh_fill/4,8,64.001083,64.006883,0.0058
4,view_projection,view_projection/6,2,0.1305,3.999381,3.868881
4,view_projection,view_projection/3,3,0.084465,3.931319,3.846854
4,view_projection,view_projection/0,4,0.042746,4.025324,3.982578
4,view_projection,view_projection/5,5,0.119402,2.862407,2.743005
4,view_projection,view_projection/4,6,0.099004,4.001766,3.902762
4,view_projection,view_projection/7,7,0.163192,2.851024,2.687832
4,view_projection,view_projection/2,8,0.07509,3.883728,3.808638
4,view_projection,view_projection/1,9,0.060673,3.052691,2.992018
4,view_scores,view_scores/6,2,4.199354,5.384852,1.185498
4,view_scores,view_scores/4,3,4.146325,5.474298,1.327973
4,view_scores,view_scores/7,4,4.202078,5.429242,1.227164
4,view_scores,view_scores/1,5,4.105009,5.598184,1.493175
4,view_scores,view_scores/5,6,4.184616,5.519168,1.334552
4,view_scores,view_scores/0,7,4.089837,5.668101,1.578264
4,view_scores,view_scores/3,8,4.130792,5.491451,1.360659
4,view_scores,view_scores/2,9,4.120673,5.595959,1.475286
4,receiver_stage,receiver_stage/0,2,6.097358,37.252801,31.155443
4,receiver_stage,receiver_stage/2,3,6.12691,37.7599,31.63299
4,receiver_stage,receiver_stage/1,4,6.115416,38.706305,32.590889
4,receiver_stage,receiver_stage/6,5,6.185909,38.325957,32.140048
4,receiver_stage,receiver_stage/4,6,6.153278,40.286045,34.132767
4,receiver_stage,receiver_stage/7,7,6.198632,39.161805,32.963173
4,receiver_stage,receiver_stage/3,8,6.143667,36.580196,30.436529
4,receiver_stage,receiver_stage/5,9,6.173315,42.033205,35.85989
4,face_fill,face_fill/0,8,46.384403,46.385663,0.00126
4,face_fill,face_fill/1,8,46.386483,46.386603,0.00012
4,face_fill,face_fill/2,8,46.386683,46.386763,8e-05
4,face_fill,face_fill/3,8,46.386833,46.386923,9e-05
4,face_fill,face_fill/4,8,46.387143,46.387223,8e-05
4,face_fill,face_fill/5,8,46.391532,46.391602,7e-05
4,face_fill,face_fill/6,8,46.391732,46.391822,9e-05
4,face_fill,face_fill/7,8,46.391942,46.392042,0.0001
4,mesh_fill,mesh_fill/6,2,62.896016,62.901445,0.005429
4,mesh_fill,mesh_fill/0,8,62.879283,62.884102,0.004819
4,mesh_fill,mesh_fill/1,8,62.884772,62.887572,0.0028
4,mesh_fill,mesh_fill/2,8,62.887662,62.889682,0.00202
