variant,phase,type,key,value
dem-sierra-S1-trace,all,counts,certified,2372
dem-sierra-S1-trace,all,counts,pointwise_height_damage,38018
dem-sierra-S1-trace,all,counts,pointwise_receiver_certified,2379
dem-sierra-S1-trace,all,counts,quality_clip_bounds_builds,4505761
dem-sierra-S1-trace,all,counts,quality_clip_exact_builds,646502
dem-sierra-S1-trace,all,counts,quality_contexts,6067522
dem-sierra-S1-trace,all,counts,quality_cover_exact_requests,3877353
dem-sierra-S1-trace,all,counts,quality_early_height_rejects,38018
dem-sierra-S1-trace,all,counts,quality_evidence_bytes,587875056
dem-sierra-S1-trace,all,counts,quality_exact_samples,659615
dem-sierra-S1-trace,all,counts,quality_face_bounds_builds,305884
dem-sierra-S1-trace,all,counts,quality_face_bounds_heights,9011522
dem-sierra-S1-trace,all,counts,quality_face_bounds_sides,79493369
dem-sierra-S1-trace,all,counts,quality_face_exact_builds,273149
dem-sierra-S1-trace,all,counts,quality_face_exact_heights,1319230
dem-sierra-S1-trace,all,counts,quality_face_exact_sides,3877353
dem-sierra-S1-trace,all,counts,quality_face_records,347526
dem-sierra-S1-trace,all,counts,quality_filter_samples,4505761
dem-sierra-S1-trace,all,counts,quality_reference_bounds_builds,6067522
dem-sierra-S1-trace,all,counts,quality_reference_exact_builds,2080245
dem-sierra-S1-trace,all,counts,quality_samples,4505761
dem-sierra-S1-trace,all,counts,quality_screen_evaluations,10016842
dem-sierra-S1-trace,all,counts,quality_visibility_exact_requests,0
dem-sierra-S1-trace,all,counts,shape_infeasible,52014
dem-sierra-S1-trace,all,counts,source_height_prepared,40400
dem-sierra-S1-trace,all,counts,flip_flip_nonconvex_or_existing_diagonal,1160
dem-sierra-S1-trace,all,counts,flip_flip_not_interior,572
dem-sierra-S1-trace,all,counts,pointwise_progress_unknown,10
dem-sierra-S1-trace,all,counts,flip_certified,7
dem-sierra-S1-trace,all,counts,flip_quality_infeasible,175
dem-sierra-S1-trace,all,counts,flip_pointwise_height_damage,6
dem-sierra-S1-trace,all,counts,flip_shape_infeasible,9
dem-sierra-S1-trace,all,seconds,derived_publish,0.012247800000000001
dem-sierra-S1-trace,all,seconds,donor_order,0.0016403999999999995
dem-sierra-S1-trace,all,seconds,face_fill,0.001972999999999999
dem-sierra-S1-trace,all,seconds,mesh_fill,0.002453199999999999
dem-sierra-S1-trace,all,seconds,mesh_prepare,0.0039627
dem-sierra-S1-trace,all,seconds,next_order,0.054378199999999995
dem-sierra-S1-trace,all,seconds,pointwise_batch,0.1473704
dem-sierra-S1-trace,all,seconds,prepare,0.04751110000000001
dem-sierra-S1-trace,all,seconds,publish,0.007005499999999999
dem-sierra-S1-trace,all,seconds,receiver_stage,10.2081119
dem-sierra-S1-trace,all,seconds,reservation,0.02402399999999998
dem-sierra-S1-trace,all,seconds,sample_repair,0.9649076000000002
dem-sierra-S1-trace,all,seconds,task_wall_sum_pointwise_quality,69.05270959999999
dem-sierra-S1-trace,all,seconds,task_wall_sum_proposal,2.3809107
dem-sierra-S1-trace,all,seconds,task_wall_sum_receiver_certification,1.8287457
dem-sierra-S1-trace,all,seconds,task_wall_sum_flip_recovery,0.14971240000000002
dem-sierra-S1-trace,all,seconds,view_order,0.0309185
dem-sierra-S1-trace,all,seconds,view_projection,0.4675492999999999
dem-sierra-S1-trace,all,seconds,view_refresh,0.6695388999999998
dem-sierra-S1-trace,all,seconds,view_scores,0.16635280000000002
dem-sierra-S1-trace,all,maxima,rationalBits,524.0
dem-sierra-S1-trace,moving,counts,certified,1492
dem-sierra-S1-trace,moving,counts,flip_flip_nonconvex_or_existing_diagonal,398
dem-sierra-S1-trace,moving,counts,flip_flip_not_interior,176
dem-sierra-S1-trace,moving,counts,pointwise_height_damage,9736
dem-sierra-S1-trace,moving,counts,pointwise_receiver_certified,1495
dem-sierra-S1-trace,moving,counts,quality_clip_bounds_builds,1888889
dem-sierra-S1-trace,moving,counts,quality_clip_exact_builds,215791
dem-sierra-S1-trace,moving,counts,quality_contexts,2936796
dem-sierra-S1-trace,moving,counts,quality_cover_exact_requests,1446552
dem-sierra-S1-trace,moving,counts,quality_early_height_rejects,9736
dem-sierra-S1-trace,moving,counts,quality_evidence_bytes,174394616
dem-sierra-S1-trace,moving,counts,quality_exact_samples,222106
dem-sierra-S1-trace,moving,counts,quality_face_bounds_builds,88956
dem-sierra-S1-trace,moving,counts,quality_face_bounds_heights,3777778
dem-sierra-S1-trace,moving,counts,quality_face_bounds_sides,35431611
dem-sierra-S1-trace,moving,counts,quality_face_exact_builds,80416
dem-sierra-S1-trace,moving,counts,quality_face_exact_heights,444212
dem-sierra-S1-trace,moving,counts,quality_face_exact_sides,1446552
dem-sierra-S1-trace,moving,counts,quality_face_records,97844
dem-sierra-S1-trace,moving,counts,quality_filter_samples,1888889
dem-sierra-S1-trace,moving,counts,quality_reference_bounds_builds,2936796
dem-sierra-S1-trace,moving,counts,quality_reference_exact_builds,783697
dem-sierra-S1-trace,moving,counts,quality_samples,1888889
dem-sierra-S1-trace,moving,counts,quality_screen_evaluations,4097270
dem-sierra-S1-trace,moving,counts,quality_visibility_exact_requests,0
dem-sierra-S1-trace,moving,counts,shape_infeasible,12550
dem-sierra-S1-trace,moving,counts,source_height_prepared,11228
dem-sierra-S1-trace,moving,counts,flip_certified,3
dem-sierra-S1-trace,moving,counts,flip_quality_infeasible,27
dem-sierra-S1-trace,moving,counts,flip_pointwise_height_damage,3
dem-sierra-S1-trace,moving,counts,flip_shape_infeasible,2
dem-sierra-S1-trace,moving,seconds,derived_publish,0.008160200000000001
dem-sierra-S1-trace,moving,seconds,donor_order,0.000439
dem-sierra-S1-trace,moving,seconds,face_fill,0.0008345000000000001
dem-sierra-S1-trace,moving,seconds,mesh_fill,0.0011793
dem-sierra-S1-trace,moving,seconds,mesh_prepare,0.0019141000000000002
dem-sierra-S1-trace,moving,seconds,next_order,0.031294300000000004
dem-sierra-S1-trace,moving,seconds,pointwise_batch,0.10149829999999999
dem-sierra-S1-trace,moving,seconds,prepare,0.029322600000000004
dem-sierra-S1-trace,moving,seconds,publish,0.0045277
dem-sierra-S1-trace,moving,seconds,receiver_stage,3.6625886
dem-sierra-S1-trace,moving,seconds,reservation,0.014856599999999998
dem-sierra-S1-trace,moving,seconds,sample_repair,0.6472604
dem-sierra-S1-trace,moving,seconds,task_wall_sum_flip_recovery,0.0305114
