function,selfPercent,inclusivePercent,selfSamples,selfWeight,inclusiveWeight
__nextafter,21.206859127414802,21.206859127414802,977,1957915816,1957915816
"std::enable_if<!boost::multiprecision::backends::is_trivial_cpp_int<boost::multiprecision::backends::cpp_int_backend<0ul, 0ul, (boost::multiprecision::cpp_integer_type)1, (boost::multiprecision::cpp_int_check_type)0, std::allocator<unsigned long long> > >::value, void>::type boost::multiprecision::backends::eval_gcd<0ul, 0ul, (boost::multiprecision::cpp_integer_type)1, (boost::multiprecision::cpp_int_check_type)0, std::allocator<unsigned long long> >(boost::multiprecision::backends::cpp_int_backend<0ul, 0ul, (boost::multiprecision::cpp_integer_type)1, (boost::multiprecision::cpp_int_check_type)0, std::allocator<unsigned long long> >&, boost::multiprecision::backends::cpp_int_backend<0ul, 0ul, (boost::multiprecision::cpp_integer_type)1, (boost::multiprecision::cpp_int_check_type)0, std::allocator<unsigned long long> > const&, boost::multiprecision::backends::cpp_int_backend<0ul, 0ul, (boost::multiprecision::cpp_integer_type)1, (boost::multiprecision::cpp_int_check_type)0, std::allocator<unsigned long long> > const&)",7.662253093119166,9.485565443889733,353,707414824,875751496
"void boost::multiprecision::backends::cpp_int_backend<0ul, 0ul, (boost::multiprecision::cpp_integer_type)1, (boost::multiprecision::cpp_int_check_type)0, std::allocator<unsigned long long> >::do_assign_float<long double>(long double)",4.623399175168222,6.880833514217495,213,426853704,635270536
"ParallelRoam::Algorithms::GreedyTransactionalLod::TransactionalSamples::Project(ParallelRoam::Algorithms::GreedyTransactionalLod::Configuration const&, unsigned int, ParallelRoam::Algorithms::GreedyTransactionalLod::SampleValue, ParallelRoam::Algorithms::GreedyTransactionalLod::WorkLedger&) const",4.44975037985674,4.44975037985674,205,410821640,410821640
"void boost::multiprecision::backends::divide_unsigned_helper<boost::multiprecision::backends::cpp_int_backend<0ul, 0ul, (boost::multiprecision::cpp_integer_type)1, (boost::multiprecision::cpp_int_check_type)0, std::allocator<unsigned long long> >, boost::multiprecision::backends::cpp_int_backend<0ul, 0ul, (boost::multiprecision::cpp_integer_type)1, (boost::multiprecision::cpp_int_check_type)0, std::allocator<unsigned long long> > >(boost::multiprecision::backends::cpp_int_backend<0ul, 0ul, (boost::multiprecision::cpp_integer_type)1, (boost::multiprecision::cpp_int_check_type)0, std::allocator<unsigned long long> >*, boost::multiprecision::backends::cpp_int_backend<0ul, 0ul, (boost::multiprecision::cpp_integer_type)1, (boost::multiprecision::cpp_int_check_type)0, std::allocator<unsigned long long> > const&, unsigned long long, boost::multiprecision::backends::cpp_int_backend<0ul, 0ul, (boost::multiprecision::cpp_integer_type)1, (boost::multiprecision::cpp_int_check_type)0, std::allocator<unsigned long long> >&)",3.6683308009550686,3.690036900369004,169,338677352,340681360
"ParallelRoam::Algorithms::GreedyTransactionalLod::TransactionalQualityFaceEvidence::SideBounds(unsigned long, std::array<ParallelRoam::Algorithms::GreedyTransactionalLod::QualityEvaluation::Interval, 2ul> const&)",3.6466247015411333,4.059040590405904,168,336673344,374749496
"std::_Function_handler<void (unsigned long, unsigned long, ParallelRoam::Algorithms::GreedyTransactionalLod::WorkLedger&), ParallelRoam::Algorithms::GreedyTransactionalLod::TransactionalSamples::PrepareView(ParallelRoam::Algorithms::GreedyTransactionalLod::TransactionalState const&, ParallelRoam::Algorithms::GreedyTransactionalLod::Configuration const&, ParallelRoam::Algorithms::GreedyTransactionalLod::WorkLedger&, ParallelRoam::Algorithms::GreedyTransactionalLod::TransactionalExecution const&)::{lambda(auto:1, auto:2, ParallelRoam::Algorithms::GreedyTransactionalLod::WorkLedger&)#2}>::_M_invoke(std::_Any_data const&, unsigned long&&, unsigned long&&, ParallelRoam::Algorithms::GreedyTransactionalLod::WorkLedger&)",3.581506403299327,4.145864988061645,165,330661320,382765528
"std::_Function_handler<void (unsigned long, unsigned long, ParallelRoam::Algorithms::GreedyTransactionalLod::WorkLedger&), ParallelRoam::Algorithms::GreedyTransactionalLod::TransactionalSamples::PrepareView(ParallelRoam::Algorithms::GreedyTransactionalLod::TransactionalState const&, ParallelRoam::Algorithms::GreedyTransactionalLod::Configuration const&, ParallelRoam::Algorithms::GreedyTransactionalLod::WorkLedger&, ParallelRoam::Algorithms::GreedyTransactionalLod::TransactionalExecution const&)::{lambda(auto:1, auto:2, ParallelRoam::Algorithms::GreedyTransactionalLod::WorkLedger&)#1}>::_M_invoke(std::_Any_data const&, unsigned long&&, unsigned long&&, ParallelRoam::Algorithms::GreedyTransactionalLod::WorkLedger&)",2.8000868243976558,7.488604297807684,129,258517032,691382760
"ParallelRoam::Algorithms::GreedyTransactionalLod::QualityEvaluation::operator*(ParallelRoam::Algorithms::GreedyTransactionalLod::QualityEvaluation::Interval, ParallelRoam::Algorithms::GreedyTransactionalLod::QualityEvaluation::Interval)",2.452789233774691,2.452789233774691,113,226452904,226452904
"std::enable_if<((!boost::multiprecision::backends::is_trivial_cpp_int<boost::multiprecision::backends::cpp_int_backend<0ul, 0ul, (boost::multiprecision::cpp_integer_type)1, (boost::multiprecision::cpp_int_check_type)0, std::allocator<unsigned long long> > >::value)&&(!boost::multiprecision::backends::is_trivial_cpp_int<boost::multiprecision::backends::cpp_int_backend<0ul, 0ul, (boost::multiprecision::cpp_integer_type)1, (boost::multiprecision::cpp_int_check_type)0, std::allocator<unsigned long long> > >::value))&&(!boost::multiprecision::backends::is_trivial_cpp_int<boost::multiprecision::backends::cpp_int_backend<0ul, 0ul, (boost::multiprecision::cpp_integer_type)1, (boost::multiprecision::cpp_int_check_type)0, std::allocator<unsigned long long> > >::value), void>::type boost::multiprecision::backends::eval_multiply<0ul, 0ul, (boost::multiprecision::cpp_integer_type)1, (boost::multiprecision::cpp_int_check_type)0, std::allocator<unsigned long long>, 0ul, 0ul, (boost::multiprecision::cpp_integer_type)1, (boost::multiprecision::cpp_int_check_type)0, std::allocator<unsigned long long>, 0ul, 0ul, (boost::multiprecision::cpp_integer_type)1, (boost::multiprecision::cpp_int_check_type)0, std::allocator<unsigned long long> >(boost::multiprecision::backends::cpp_int_backend<0ul, 0ul, (boost::multiprecision::cpp_integer_type)1, (boost::multiprecision::cpp_int_check_type)0, std::allocator<unsigned long long> >&, boost::multiprecision::backends::cpp_int_backend<0ul, 0ul, (boost::multiprecision::cpp_integer_type)1, (boost::multiprecision::cpp_int_check_type)0, std::allocator<unsigned long long> > const&, boost::multiprecision::backends::cpp_int_backend<0ul, 0ul, (boost::multiprecision::cpp_integer_type)1, (boost::multiprecision::cpp_int_check_type)0, std::allocator<unsigned long long> > const&)",2.257434339049273,3.1907966138484913,104,208416832,294589176
