frame,phase,frameMs,dispatchMs,taskSumMs,taskMaxMs,tasks,threads,waitMs,afterLastTaskMs,balanceRatio
3,view_projection,67.22185,4.271255,29.076477,4.197047,8,8,4.149026,0.033949,0.8659802058447283
3,view_scores,67.22185,2.168578,13.956625,2.070509,8,8,2.080768,0.038101,0.8425841785763791
3,receiver_stage,67.22185,36.150683,277.398333,35.96494,8,8,35.958866,0.098859,0.9641276094162815
3,face_fill,67.22185,0.145118,0.00265,0.00133,8,1,0.00017,0.09516,0.24906015037593984
3,mesh_fill,67.22185,0.125439,0.02509,0.00633,8,2,0.0008,0.0694,0.49545813586097953
4,view_projection,64.746966,4.234936,28.743157,4.130377,8,8,4.109837,0.032889,0.8698708677198231
4,view_scores,64.746966,1.97081,13.045105,1.90181,8,8,1.835171,0.03532,0.8574137926501596
4,receiver_stage,64.746966,35.645149,262.082129,35.439522,8,8,35.448066,0.07794,0.9243992095886622
4,face_fill,64.746966,0.141649,0.00247,0.00143,8,2,0.00027,0.09732,0.21590909090909088
4,mesh_fill,64.746966,0.130839,0.0225,0.00519,8,2,0.00012,0.065885,0.541907514450867
5,view_projection,52.321235,4.062048,27.683569,3.980909,8,8,3.88533,0.032479,0.8692602933149187
5,view_scores,52.321235,1.912245,12.555222,1.844511,8,8,1.783126,0.03752,0.850850306666645
5,receiver_stage,52.321235,28.394459,212.614573,28.231236,8,8,28.219271,0.085259,0.9413977349415379
5,face_fill,52.321235,0.257277,0.00224,0.00154,8,1,0.00017,0.191393,0.18181818181818182
5,mesh_fill,52.321235,0.132199,0.02065,0.00511,8,2,0.00012,0.074544,0.5051369863013699
6,view_projection,56.720345,4.119492,27.074415,4.052942,8,8,3.984584,0.034345,0.8350235150169926
6,view_scores,56.720345,2.093209,13.665032,2.022259,8,8,1.96374,0.039915,0.8446638140811834
6,receiver_stage,56.720345,30.570016,223.746723,30.407769,8,8,30.389748,0.077499,0.9197761392820368
6,face_fill,56.720345,0.129809,0.00226,0.00146,8,1,0.00015,0.090019,0.1934931506849315
6,mesh_fill,56.720345,0.152998,0.01975,0.00583,8,2,0.00023,0.084931,0.42345626072041165
7,view_projection,42.548217,4.223766,29.055446,4.112907,8,8,4.098218,0.080589,0.8830568622144872
7,view_scores,42.548217,2.534553,17.855427,2.457434,8,8,2.406836,0.0354,0.9082353279884626
7,receiver_stage,42.548217,23.553539,177.123868,23.383303,8,8,23.379121,0.078209,0.9468501306252585
7,face_fill,42.548217,0.147519,0.00173,0.00117,8,1,0.00019,0.100955,0.1848290598290598
7,mesh_fill,42.548217,0.152059,0.01699,0.00552,8,2,0.00021,0.081235,0.38473731884057977
8,view_projection,40.916529,4.089612,26.205085,4.016168,8,8,3.936194,0.03343,0.8156122017306048
8,view_scores,40.916529,1.96252,12.756351,1.884924,8,8,1.831641,0.032082,0.8459459771322345
8,receiver_stage,40.916529,22.311638,168.689621,22.188663,8,8,22.137309,0.090205,0.9503142494435108
8,face_fill,40.916529,0.130428,0.00175,0.00119,8,1,0.00012,0.090879,0.1838235294117647
8,mesh_fill,40.916529,0.136609,0.01509,0.00434,8,2,0.00013,0.076899,0.43461981566820274
9,view_projection,42.473677,4.032058,26.288291,3.926609,8,8,3.83303,0.034095,0.8368636589484718
9,view_scores,42.473677,2.303286,15.360395,2.234447,8,8,2.164947,0.037685,0.859295107469544
9,receiver_stage,42.473677,24.041695,173.520192,23.891596,8,8,23.879226,0.076005,0.9078516144337951
9,face_fill,42.473677,0.136269,0.002439,0.00164,8,1,0.00013,0.091225,0.18589939024390245
9,mesh_fill,42.473677,0.144068,0.018289,0.00585,8,2,0.00018,0.091389,0.39079059829059826
10,view_projection,34.889007,3.9366,27.420234,3.808911,8,8,3.788016,0.03157,0.8998711836532804
10,view_scores,34.889007,2.701073,16.609066,2.617853,8,8,2.557674,0.03789,0.7930671622890971
10,receiver_stage,34.889007,20.346393,147.933127,20.122751,8,8,20.169965,0.075764,0.9189419913311058
10,face_fill,34.889007,0.121618,0.00181,0.0012,8,1,0.00013,0.082965,0.1885416666666667
10,mesh_fill,34.889007,0.133298,0.01289,0.00475,8,2,0.00024,0.073604,0.3392105263157895
11,view_projection,34.925516,4.094427,29.112362,4.024198,8,8,3.965199,0.03172,0.9042908052734979
11,view_scores,34.925516,1.974159,11.806887,1.90406,8,8,1.81353,0.038599,0.775112588363812
11,receiver_stage,34.925516,20.320749,144.472752,20.117485,8,8,20.14985,0.071925,0.8976814944810448
11,face_fill,34.925516,0.122078,0.00173,0.00115,8,1,0.00013,0.083164,0.18804347826086956
11,mesh_fill,34.925516,0.146279,0.00832,0.00362,8,1,0.00019,0.097741,0.287292817679558
12,view_projection,49.948959,3.945109,24.910436,3.87898,8,8,3.80385,0.033105,0.8027379620415677
12,view_scores,49.948959,1.791762,11.567259,1.711382,8,8,1.667873,0.047052,0.8448770496592812
12,receiver_stage,49.948959,31.739345,189.875847,31.569132,8,8,31.562576,0.084134,0.7518255768007812
12,face_fill,49.948959,0.122849,0.00193,0.00119,8,1,0.00013,0.078415,0.2027310924369748
12,mesh_fill,49.948959,0.121129,0.00998,0.00384,8,1,0.00023,0.075085,0.32486979166666663
13,view_projection,42.508347,3.900639,24.038451,3.777821,8,8,3.7652,0.031279,0.7953808227017638
13,view_scores,42.508347,2.041729,13.148862,1.973089,8,8,1.90885,0.03496,0.8330124743485975
13,receiver_stage,42.508347,24.565489,177.656395,24.330387,8,8,24.378102,0.078229,0.9127289826914795
13,face_fill,42.508347,0.135968,0.002619,0.00151,8,1,0.00014,0.08537,0.21680463576158937
13,mesh_fill,42.508347,0.123339,0.01584,0.00439,8,2,0.00013,0.06947,0.4510250569476082
14,view_projection,54.358194,4.128812,26.858725,4.031368,8,8,3.997933,0.033135,0.8328043048910445
14,view_scores,54.358194,2.242742,14.618412,2.168747,8,8,2.117334,0.041682,0.8425609349546073
14,receiver_stage,54.358194,32.119605,202.423387,31.940832,8,8,31.939647,0.080489,0.7921810983195428
14,face_fill,54.358194,0.122959,0.00226,0.00142,8,1,0.00132,0.084929,0.19894366197183097
14,mesh_fill,54.358194,0.148338,0.01737,0.00458,8,2,0.00052,0.092784,0.4740720524017467
15,view_projection,68.492042,4.183121,26.518803,4.090557,8,8,4.062353,0.034395,0.8103665038771002
15,view_scores,68.492042,2.012989,12.783467,1.94425,8,8,1.8824,0.034299,0.8218764947923364
15,receiver_stage,68.492042,41.449843,293.782722,41.204621,8,8,41.269016,0.093064,0.8912311133743954
15,face_fill,68.492042,0.129179,0.00236,0.00126,8,1,0.00021,0.087485,0.23412698412698413
15,mesh_fill,68.492042,0.128278,0.01978,0.00486,8,2,0.00015,0.071219,0.5087448559670782
16,view_projection,77.765726,3.735321,26.348295,3.615862,8,8,3.604272,0.037925,0.9108580125568951
16,view_scores,77.765726,2.499424,15.789074,2.417765,8,8,2.354176,0.044804,0.8163052447198135
16,receiver_stage,77.765726,49.856546,343.03174,49.576883,8,8,49.634059,0.136289,0.8648984144485243
16,face_fill,77.765726,0.128829,0.00206,0.00148,8,1,0.00014,0.078825,0.1739864864864865
16,mesh_fill,77.765726,0.134649,0.023049,0.00491,8,3,0.00018,0.049995,0.5867871690427698
17,view_projection,70.207134,3.524448,24.741272,3.461104,8,8,3.39613,0.03099,0.8935469722955449
17,view_scores,70.207134,2.302406,15.337801,2.237227,8,8,2.173667,0.035671,0.856964950360424
17,receiver_stage,70.207134,40.779405,309.352636,40.589552,8,8,40.564008,0.111944,0.952685545777889
17,face_fill,70.207134,0.134418,0.00823,0.00598,8,1,0.00014,0.078214,0.17203177257525082
17,mesh_fill,70.207134,0.154378,0.02275,0.00651,8,2,0.00013,0.082464,0.4368279569892473
18,view_projection,72.99154,4.034188,29.056359,3.857245,8,8,3.89927,0.04382,0.9416163284935233
18,view_scores,72.99154,2.995458,18.654663,2.90844,8,8,2.8551,0.036489,0.8017469416594463
18,receiver_stage,72.99154,44.441742,318.230759,44.283083,8,8,44.261114,0.095565,0.8982853536868696
18,face_fill,72.99154,0.131928,0.00214,0.00139,8,1,0.00017,0.090794,0.19244604316546762
18,mesh_fill,72.99154,0.151098,0.029168,0.00941,8,2,0.00021,0.080135,0.38746014877789586
