zone,calls,inclusiveMs,selfMs
pool.task,1160,9111.739343000007,0.4781189999996158
gtp.task,1160,9111.261223999978,1178.9559300000037
gtp.item,4640,7932.305294000006,35.014668999997646
gtp.pointwise.certify,11234,7170.0461119999945,7124.565613000137
pool.sleep,854,2013.4282419999947,2013.4282419999947
profile.frame,29,1895.7878669999998,0.06818900000001804
tpi.cpu_ready,29,1895.7196780000004,3.564902999999971
gtp.update,29,1703.8659869999997,0.11217699999999553
gtp.dispatch,174,1310.0091739999998,1.0549910000000184
pool.parallel_for,145,1307.7758939999997,18.985607
pool.wait,145,1288.6729109999994,1288.6729109999994
gtp.plan,29,1140.8047270000002,2.6471070000000205
gtp.apply,29,561.1273739999999,10.021743000000015
gtp.receivers,26926,438.3744169999981,438.3744169999981
gtp.samples.prepare,29,411.1651120000001,411.1651120000001
gtp.receiver.source_height,23778,276.8514950000016,276.8514950000016
gtp.set_view,29,188.231491,0.08339999999999785
gtp.samples.prepare_view,29,188.00284100000002,0.49177299999999924
gtp.pointwise.validate_batch,29,101.17725899999999,101.17725899999999
gtp.height_hint_check,7894,39.010596999999855,39.010596999999855
gtp.commit.prepare,29,24.61757,20.640302
gtp.flip_recovery,203,17.129711,2.9821910000000003
gtp.reservation,29,13.228301000000004,13.228301000000004
gtp.samples.orders,29,10.451310000000003,10.451310000000003
gtp.measure,33,9.03025,9.03025
gtp.face_evidence,11234,6.469901999999984,6.469901999999984
gtp.samples.publish,29,6.011673999999999,6.011673999999999
gtp.mesh.prepare,29,4.514181,0.471352
gtp.commit.publish,29,3.182027,3.182027
pool.complete,1097,2.3510470000000048,2.3510470000000048
gtp.height_hint_merge,29,1.817619,1.817619
gtp.ledger_merge,145,1.178289,1.178289
gtp.mesh.publish,29,0.43780800000000014,0.43780800000000014
gtp.samples.publish_view,29,0.13439,0.13439
pool.enqueue,145,0.11737600000000001,0.11737600000000001
gtp.mesh.consume,29,0.05729700000000001,0.05729700000000001
gtp.initialize,58,0.014950000000000007,0.014950000000000007
gtp.accepts,33,0.00616,0.00616
