frame,phase,task,thread,startMs,endMs,durationMs
3,view_projection,view_projection/6,2,0.128309,4.206956,4.078647
3,view_projection,view_projection/5,3,0.118583,3.890264,3.771681
3,view_projection,view_projection/7,4,0.146848,3.961308,3.81446
3,view_projection,view_projection/4,5,0.107298,2.986568,2.87927
3,view_projection,view_projection/2,6,0.072659,2.804581,2.731922
3,view_projection,view_projection/1,7,0.059978,4.024516,3.964538
3,view_projection,view_projection/3,8,0.093144,3.732056,3.638912
3,view_projection,view_projection/0,9,0.053299,4.250346,4.197047
3,view_scores,view_scores/5,2,4.362779,6.033822,1.671043
3,view_scores,view_scores/2,3,4.34729,6.136601,1.789311
3,view_scores,view_scores/6,4,4.368594,5.904358,1.535764
3,view_scores,view_scores/0,5,4.343099,6.093131,1.750032
3,view_scores,view_scores/4,6,4.349495,6.358184,2.008689
3,view_scores,view_scores/3,7,4.363844,6.153195,1.789351
3,view_scores,view_scores/1,8,4.344683,6.415192,2.070509
3,view_scores,view_scores/7,9,4.384154,5.72608,1.341926
3,receiver_stage,receiver_stage/2,2,6.948173,40.753131,33.804958
3,receiver_stage,receiver_stage/4,3,6.978422,42.577607,35.599185
3,receiver_stage,receiver_stage/1,4,6.930907,40.268011,33.337104
3,receiver_stage,receiver_stage/3,5,6.960567,41.525187,34.56462
3,receiver_stage,receiver_stage/6,6,7.004017,40.506023,33.502006
3,receiver_stage,receiver_stage/5,7,6.986256,41.710464,34.724208
3,receiver_stage,receiver_stage/7,8,7.031711,42.933023,35.901312
3,receiver_stage,receiver_stage/0,9,6.915448,42.880388,35.96494
3,face_fill,face_fill/0,4,48.096118,48.097448,0.00133
3,face_fill,face_fill/1,4,48.097988,48.098078,9e-05
3,face_fill,face_fill/2,4,48.098168,48.098258,9e-05
3,face_fill,face_fill/3,4,48.098308,48.098418,0.00011
3,face_fill,face_fill/4,4,48.098468,48.098688,0.00022
3,face_fill,face_fill/5,4,48.099628,48.099678,5e-05
3,face_fill,face_fill/6,4,48.104698,48.105408,0.00071
3,face_fill,face_fill/7,4,48.105458,48.105508,5e-05
3,mesh_fill,mesh_fill/0,4,66.311874,66.317604,0.00573
3,mesh_fill,mesh_fill/1,4,66.318354,66.320724,0.00237
3,mesh_fill,mesh_fill/2,4,66.320844,66.323084,0.00224
3,mesh_fill,mesh_fill/3,4,66.323134,66.325264,0.00213
3,mesh_fill,mesh_fill/5,4,66.325324,66.327404,0.00208
3,mesh_fill,mesh_fill/6,4,66.327544,66.329824,0.00228
3,mesh_fill,mesh_fill/7,4,66.329964,66.331894,0.00193
3,mesh_fill,mesh_fill/4,6,66.326099,66.332429,0.00633
4,view_projection,view_projection/1,2,0.075964,2.948144,2.87218
4,view_projection,view_projection/5,3,0.121759,2.933729,2.81197
4,view_projection,view_projection/0,4,0.049914,4.046683,3.996769
4,view_projection,view_projection/3,5,0.094834,3.749761,3.654927
4,view_projection,view_projection/2,6,0.09071,4.221087,4.130377
4,view_projection,view_projection/4,7,0.108229,4.127438,4.019209
4,view_projection,view_projection/7,8,0.148973,3.648397,3.499424
4,view_projection,view_projection/6,9,0.142847,3.901148,3.758301
4,view_scores,view_scores/1,2,4.30103,5.896364,1.595334
4,view_scores,view_scores/0,3,4.288046,6.189856,1.90181
4,view_scores,view_scores/5,4,4.36387,5.894764,1.530894
4,view_scores,view_scores/3,5,4.3313,5.979063,1.647763
4,view_scores,view_scores/7,6,4.402154,5.669371,1.267217
4,view_scores,view_scores/6,7,4.376675,6.005928,1.629253
4,view_scores,view_scores/2,8,4.315175,6.093657,1.778482
4,view_scores,view_scores/4,9,4.349185,6.043537,1.694352
4,receiver_stage,receiver_stage/2,2,6.656381,39.315121,32.65874
4,receiver_stage,receiver_stage/7,3,6.74162,37.95681,31.21519
4,receiver_stage,receiver_stage/1,4,6.639716,39.052818,32.413102
4,receiver_stage,receiver_stage/3,5,6.670746,41.673331,35.002585
4,receiver_stage,receiver_stage/0,6,6.626612,37.609699,30.983087
4,receiver_stage,receiver_stage/4,7,6.686346,37.320671,30.634325
4,receiver_stage,receiver_stage/6,8,6.721779,42.161301,35.439522
4,receiver_stage,receiver_stage/5,9,6.692501,40.428079,33.735578
4,face_fill,face_fill/6,6,46.873862,46.874262,0.0004
4,face_fill,face_fill/0,7,46.864992,46.866422,0.00143
4,face_fill,face_fill/1,7,46.867082,46.867232,0.00015
4,face_fill,face_fill/2,7,46.867312,46.867432,0.00012
4,face_fill,face_fill/3,7,46.867492,46.867602,0.00011
4,face_fill,face_fill/4,7,46.873002,46.873092,9e-05
4,face_fill,face_fill/5,7,46.873242,46.873302,6e-05
4,face_fill,face_fill/7,7,46.874612,46.874722,0.00011
4,mesh_fill,mesh_fill/6,6,63.89991,63.9051,0.00519
4,mesh_fill,mesh_fill/0,7,63.882635,63.887485,0.00485
4,mesh_fill,mesh_fill/1,7,63.888255,63.891105,0.00285
4,mesh_fill,mesh_fill/2,7,63.891325,63.893465,0.00214
