policy,budget,mode,meanFaces,meanMs,movingMs,staticMs,firstMs,medianMs,maxMs,Rmoving,Smoving,S4toThisMoving
fixed64,20000,b1,20000,29.769918875000002,44.6126218,5.0715775,4.953087,38.62348250000001,67.215891,,,
fixed64,20000,c4,20000,15.080909625,22.6028054,2.3671960000000003,2.898858,21.502715000000002,25.406857000000002,1.7650405819925297,1.9737648053192547,1.0
fixed64,20000,c8,20000,11.894482875,17.4110086,1.3146175,5.471585,14.694874500000001,22.666413,1.539996831735152,2.5623226560235,1.298190467839985
fixed64,20000,dod4,19999.75,10.827282375,12.8058276,5.0269895,12.535142,11.397931,18.753278,,,
fixed64,20000,dod8,19999.75,8.813026125,11.305873,4.664409,4.646026,8.642521,16.281344,,,
fixed64,50000,b1,49999,33.481468875,50.1645852,5.3366935,6.355438,48.98351699999999,52.116133,,,
fixed64,50000,c4,49999,16.725321875,25.432729,2.3294835000000003,1.979963,24.721733999999998,26.348257,0.7441972217800173,1.9724420922347736,1.0
fixed64,50000,c8,49999,10.561143874999999,16.009809999999998,1.2840504999999998,1.8719999999999999,15.356383999999998,16.706343,0.5274803037637302,3.133365430320535,1.5885715695564158
fixed64,50000,dod4,49999.375,28.11521375,34.1747164,18.340488,17.367152,27.331434,51.528199,,,
fixed64,50000,dod8,49999.375,23.91496125,30.351484,13.4824035,12.597463,24.254206,47.736227,,,
fixed64,100000,b1,99999,51.21685725,78.74260539999999,5.209704,5.602423000000001,74.67993399999999,89.08085499999999,,,
fixed64,100000,c4,99999,23.335147875,35.7826508,2.7090430000000003,2.349843,32.4161845,45.358791000000004,0.413194999952448,2.2005805506170044,1.0
fixed64,100000,c8,99999,14.401392125,22.0656018,1.3135515,2.256025,20.1383705,25.464138999999996,0.2852228796050767,3.5685682227801276,1.6216485335106519
fixed64,100000,dod4,99999.375,67.2792255,86.5999124,32.688985,39.856272,63.9511495,134.968786,,,
fixed64,100000,dod8,99999.375,59.279320625,77.362664,29.1812995,29.058646,60.407619999999994,124.10842,,,
fixed64,200000,b1,200000,65.46981725,101.8690706,4.8920685,4.629048,87.55367100000001,113.367886,,,
fixed64,200000,c4,200000,37.40662125,58.8261378,1.8143255,1.49363,54.20986499999999,63.245249,0.3698103869796813,1.7316974122343283,1.0
fixed64,200000,c8,200000,20.232587749999997,31.389665799999996,1.7279324999999999,1.456508,27.7154895,35.35599599999999,0.18539347667744957,3.2453059949430876,1.8740606597984233
fixed64,200000,dod4,199999.625,130.851015,159.0710804,74.118345,103.216028,126.9449075,236.661467,,,
fixed64,200000,dod8,199999.625,134.071344125,169.3137556,74.02859950000001,77.944776,105.7869775,341.493373,,,
scaled,20000,b1,20000,29.769918875000002,44.6126218,5.0715775,4.953087,38.62348250000001,67.215891,,,
scaled,20000,c4,20000,15.080909625,22.6028054,2.3671960000000003,2.898858,21.502715000000002,25.406857000000002,1.7650405819925297,1.9737648053192547,1.0
scaled,20000,c8,20000,11.894482875,17.4110086,1.3146175,5.471585,14.694874500000001,22.666413,1.539996831735152,2.5623226560235,1.298190467839985
scaled,20000,dod4,19999.75,10.827282375,12.8058276,5.0269895,12.535142,11.397931,18.753278,,,
scaled,20000,dod8,19999.75,8.813026125,11.305873,4.664409,4.646026,8.642521,16.281344,,,
scaled,50000,b1,49999,46.517354624999996,68.07124619999999,10.7316265,10.319353,62.298443,86.13616599999999,,,
scaled,50000,c4,49999,25.03693,37.6259374,4.1967515,3.7722500000000005,33.5465085,44.892952,1.1009875534768152,1.8091574829441988,1.0
scaled,50000,c8,49999,16.956674,25.439602999999998,2.8253935,2.80459,21.275883999999998,31.606817000000003,0.8381666939250811,2.6757982897767705,1.479030054046048
scaled,50000,dod4,49999.375,28.11521375,34.1747164,18.340488,17.367152,27.331434,51.528199,,,
scaled,50000,dod8,49999.375,23.91496125,30.351484,13.4824035,12.597463,24.254206,47.736227,,,
scaled,100000,b1,99999,77.739703125,110.1793324,23.7263965,23.56817,87.0589145,141.944463,,,
scaled,100000,c4,99999,43.8625695,66.5089998,5.9935135,6.36853,55.657975500000006,81.41267,0.7680030840308333,1.656607868579013,1.0
scaled,100000,c8,99999,29.833883875,45.114305,4.614072,3.871402,30.577155500000003,71.36502100000001,0.5831534575903436,2.4422260832789067,1.474233057563449
scaled,100000,dod4,99999.375,67.2792255,86.5999124,32.688985,39.856272,63.9511495,134.968786,,,
scaled,100000,dod8,99999.375,59.279320625,77.362664,29.1812995,29.058646,60.407619999999994,124.10842,,,
scaled,200000,b1,200000,155.012151875,220.923013,45.251735999999994,44.978678,163.0719115,308.0558,,,
scaled,200000,c4,200000,110.432082,163.5256264,22.0175235,21.793477000000003,95.922614,253.172167,1.028003493713619,1.3509993379239549,1.0
scaled,200000,c8,200000,85.73909474999999,131.656385,10.641950000000001,6.346933,68.8503945,209.04415099999997,0.777588238672322,1.678027336084004,1.2420637738154514
scaled,200000,dod4,199999.625,130.851015,159.0710804,74.118345,103.216028,126.9449075,236.661467,,,
scaled,200000,dod8,199999.625,134.071344125,169.3137556,74.02859950000001,77.944776,105.7869775,341.493373,,,
