run,case,warmCpuMs,warmP95Ms,warmMaxMs,coldMs,initialFaces,finalFaces,minFaces,maxFaces,meanUploadMs,raw,examined,receivers,need,feasible,exchanges,free,pairs,conflicts,donorReuse,touches,evaluations,vertexWrites,indexWrites,flipExecuted
r1-peking547-b50000-classic-t1,peking547-b50000-classic-t1,80.62945293244861,115.55719757080078,202.79200744628906,260.7691955566406,50000.0,50000.0,50000.0,50000.0,1.4519999969218458,,,,,,,,,,,,,,,0
r2-peking547-b50000-classic-t1,peking547-b50000-classic-t1,73.98103377932594,120.50729370117188,178.24270629882812,236.70941162109375,50000.0,50000.0,50000.0,50000.0,1.364290479748022,,,,,,,,,,,,,,,0
r3-peking547-b50000-classic-t1,peking547-b50000-classic-t1,67.85766247340611,103.66539764404297,168.97650146484375,240.50259399414062,50000.0,50000.0,50000.0,50000.0,1.254004734013939,,,,,,,,,,,,,,,0
r1-peking547-b50000-dod-t8,peking547-b50000-dod-t8,42.46455669403076,67.7593994140625,101.21859741210938,188.11070251464844,49999.0,49999.0,49999.0,50000.0,1.4908809569730823,,,,,,,,,,,,,,,0
r2-peking547-b50000-dod-t8,peking547-b50000-dod-t8,58.536300795418875,98.470703125,161.4279022216797,210.0843048095703,49999.0,49999.0,49999.0,50000.0,2.3315190316532695,,,,,,,,,,,,,,,0
r3-peking547-b50000-dod-t8,peking547-b50000-dod-t8,45.29433341253372,66.5708999633789,115.9271011352539,202.51600646972656,49999.0,49999.0,49999.0,50000.0,1.540752377471931,,,,,,,,,,,,,,,0
r1-peking547-b50000-transactional-t8,peking547-b50000-transactional-t8,36.14255673544748,129.71409606933594,131.57229614257812,1430.6180419921875,49999.0,49999.0,49999.0,49999.0,0.12223333475135621,1190653.0,3840.0,308.0,308.0,308.0,145.0,0.0,28580.0,23551.0,4127.0,469533.0,26960324.0,152655.0,155226.0,1
r2-peking547-b50000-transactional-t8,peking547-b50000-transactional-t8,38.34095195361546,134.6510009765625,141.23599243164062,1642.5791015625,49999.0,49999.0,49999.0,49999.0,0.14434761908792315,1190653.0,3840.0,308.0,308.0,308.0,145.0,0.0,28580.0,23551.0,4127.0,469533.0,26960324.0,152655.0,155226.0,1
r3-peking547-b50000-transactional-t8,peking547-b50000-transactional-t8,37.18197154998779,139.73109436035156,142.68670654296875,1308.6712646484375,49999.0,49999.0,49999.0,49999.0,0.1577285694934073,1190653.0,3840.0,308.0,308.0,308.0,145.0,0.0,28580.0,23551.0,4127.0,469533.0,26960324.0,152655.0,155226.0,1
r1-peking547-b50000-transactional-t1,peking547-b50000-transactional-t1,112.84295763288226,254.9897003173828,270.30389404296875,1247.7425537109375,49999.0,49999.0,49999.0,49999.0,0.09601904735678718,1190653.0,3840.0,308.0,308.0,308.0,145.0,0.0,28580.0,23551.0,4127.0,469533.0,26960324.0,152655.0,155226.0,1
r2-peking547-b50000-transactional-t1,peking547-b50000-transactional-t1,126.17062255314418,278.785888671875,302.1759948730469,1613.1551513671875,49999.0,49999.0,49999.0,49999.0,0.16268571608123325,1190653.0,3840.0,308.0,308.0,308.0,145.0,0.0,28580.0,23551.0,4127.0,469533.0,26960324.0,152655.0,155226.0,1
r3-peking547-b50000-transactional-t1,peking547-b50000-transactional-t1,120.86627351670037,256.79681396484375,273.24420166015625,1366.029541015625,49999.0,49999.0,49999.0,49999.0,0.10810476142380919,1190653.0,3840.0,308.0,308.0,308.0,145.0,0.0,28580.0,23551.0,4127.0,469533.0,26960324.0,152655.0,155226.0,1
r1-peking547-b100000-classic-t1,peking547-b100000-classic-t1,152.25885200500488,256.4906005859375,349.4369812011719,479.9374084472656,100000.0,100000.0,100000.0,100000.0,2.785338088637218,,,,,,,,,,,,,,,0
r2-peking547-b100000-classic-t1,peking547-b100000-classic-t1,222.06774829682848,325.2456970214844,554.8231201171875,580.3473510742188,100000.0,100000.0,100000.0,100000.0,3.605804769167056,,,,,,,,,,,,,,,0
r3-peking547-b100000-classic-t1,peking547-b100000-classic-t1,149.38443501790366,235.44140625,394.698486328125,428.5653076171875,100000.0,100000.0,100000.0,100000.0,2.8532190272761953,,,,,,,,,,,,,,,0
r1-peking547-b100000-dod-t8,peking547-b100000-dod-t8,108.12582760765439,182.2668914794922,213.46578979492188,309.8495178222656,99999.0,99999.0,99999.0,100000.0,3.631352370893139,,,,,,,,,,,,,,,0
r2-peking547-b100000-dod-t8,peking547-b100000-dod-t8,134.4773049127488,215.40310668945312,322.38201904296875,343.6029052734375,99999.0,99999.0,99999.0,100000.0,4.001538108369069,,,,,,,,,,,,,,,0
