case,frame,status,faces,Emax,RMS,Hmax,Q,missing,ambiguous,screenWitness
peking547-b50000-classic-t1,2,ok,50000.0,0.44188556383409333,0.0358324237514829,0.1675816474447367,1790881,0,0,"[13560, 0.8040292859077454, 0.007326007355004549]"
peking547-b50000-classic-t1,15,ok,50000.0,0.418727498700991,0.03405166256535189,0.281968581366959,1790881,0,0,"[852488, 0.7307692170143127, 0.4761904776096344]"
peking547-b50000-classic-t1,16,ok,50000.0,0.44188556383409333,0.0358324237514829,0.1675816474447367,1790881,0,0,"[13560, 0.8040292859077454, 0.007326007355004549]"
peking547-b50000-classic-t1,23,ok,50000.0,0.44188556383409333,0.03582261171767115,0.1675816474447367,1790881,0,0,"[13560, 0.8040292859077454, 0.007326007355004549]"
peking547-b50000-dod-t8,2,ok,49999.0,0.44188556383409333,0.0358324237514829,0.1675816474447367,1790881,0,0,"[13560, 0.8040292859077454, 0.007326007355004549]"
peking547-b50000-dod-t8,15,ok,50000.0,0.418727498700991,0.03405166256535189,0.281968581366959,1790881,0,0,"[852488, 0.7307692170143127, 0.4761904776096344]"
peking547-b50000-dod-t8,16,ok,49999.0,0.44188556383409333,0.0358324237514829,0.1675816474447367,1790881,0,0,"[13560, 0.8040292859077454, 0.007326007355004549]"
peking547-b50000-dod-t8,23,ok,49999.0,0.44188556383409333,0.0358324237514829,0.1675816474447367,1790881,0,0,"[13560, 0.8040292859077454, 0.007326007355004549]"
peking547-b50000-transactional-t8,2,ok,49999.0,0.44188556383409333,0.0358324237514829,0.1675816474447367,1790881,0,0,"[13560, 0.8040292859077454, 0.007326007355004549]"
peking547-b50000-transactional-t8,15,ok,49999.0,1.9965571109865088,0.11532652990377568,0.1675816474447367,1790881,0,0,"[1790794, 0.9743589758872986, 1]"
peking547-b50000-transactional-t8,16,ok,49999.0,0.44188556383409333,0.03562219810256677,0.1675816474447367,1790881,0,0,"[13560, 0.8040292859077454, 0.007326007355004549]"
peking547-b50000-transactional-t8,23,ok,49999.0,0.44188556383409333,0.03562219810256677,0.1675816474447367,1790881,0,0,"[13560, 0.8040292859077454, 0.007326007355004549]"
peking547-b100000-classic-t1,2,ok,100000.0,0.3308686511891794,0.020319497799001624,0.1675816474447367,1790881,0,0,"[209346, 0.5311355590820312, 0.11721611768007278]"
peking547-b100000-classic-t1,15,ok,100000.0,0.34919519544202426,0.019292469572540657,0.281968581366959,1790881,0,0,"[839376, 0.7307692170143127, 0.46886447072029114]"
peking547-b100000-classic-t1,16,ok,100000.0,0.3308686511891794,0.020320304851441495,0.1675816474447367,1790881,0,0,"[209346, 0.5311355590820312, 0.11721611768007278]"
peking547-b100000-classic-t1,23,ok,100000.0,0.3308686511891794,0.020319497799001624,0.1675816474447367,1790881,0,0,"[209346, 0.5311355590820312, 0.11721611768007278]"
peking547-b100000-dod-t8,2,ok,99999.0,0.3308686511891794,0.020320305091660544,0.1675816474447367,1790881,0,0,"[209346, 0.5311355590820312, 0.11721611768007278]"
peking547-b100000-dod-t8,15,ok,100000.0,0.34919519544202426,0.019292469572540657,0.281968581366959,1790881,0,0,"[839376, 0.7307692170143127, 0.46886447072029114]"
peking547-b100000-dod-t8,16,ok,99999.0,0.3308686511891794,0.020320305091660544,0.1675816474447367,1790881,0,0,"[209346, 0.5311355590820312, 0.11721611768007278]"
peking547-b100000-dod-t8,23,ok,99999.0,0.3308686511891794,0.020320305091660544,0.1675816474447367,1790881,0,0,"[209346, 0.5311355590820312, 0.11721611768007278]"
peking547-b100000-transactional-t8,2,ok,99999.0,0.3308686511891794,0.020320305091660527,0.1675816474447367,1790881,0,0,"[209346, 0.5311355590820312, 0.11721611768007278]"
peking547-b100000-transactional-t8,15,ok,99999.0,1.9965571109865088,0.10526095809692457,0.1675816474447367,1790881,0,0,"[1790794, 0.9743589758872986, 1]"
peking547-b100000-transactional-t8,16,ok,99999.0,0.3308686511891794,0.020293466193769795,0.1675816474447367,1790881,0,0,"[209346, 0.5311355590820312, 0.11721611768007278]"
peking547-b100000-transactional-t8,23,ok,99999.0,0.3308686511891794,0.020293466193769795,0.1675816474447367,1790881,0,0,"[209346, 0.5311355590820312, 0.11721611768007278]"
peking547-b200000-classic-t1,2,ok,200000.0,0.20915012134511052,0.011188298892161089,0.1675816474447367,1790881,0,0,"[176837, 0.6135531067848206, 0.09798534959554672]"
peking547-b200000-classic-t1,15,ok,200000.0,0.19377242496389396,0.010453204108428621,0.281968581366959,1790881,0,0,"[855772, 0.732600748538971, 0.4780219793319702]"
peking547-b200000-classic-t1,16,ok,200000.0,0.20915012134511052,0.011188298892161089,0.1675816474447367,1790881,0,0,"[176837, 0.6135531067848206, 0.09798534959554672]"
peking547-b200000-classic-t1,23,ok,200000.0,0.20915012134511052,0.011188298892161089,0.1675816474447367,1790881,0,0,"[176837, 0.6135531067848206, 0.09798534959554672]"
peking547-b200000-dod-t8,2,ok,200000.0,0.20915012134511052,0.011188298892161089,0.1675816474447367,1790881,0,0,"[176837, 0.6135531067848206, 0.09798534959554672]"
peking547-b200000-dod-t8,15,ok,199999.0,0.19377242496389396,0.010453214829506351,0.281968581366959,1790881,0,0,"[855772, 0.732600748538971, 0.4780219793319702]"
peking547-b200000-dod-t8,16,ok,200000.0,0.20915012134511052,0.011188298892161089,0.1675816474447367,1790881,0,0,"[176837, 0.6135531067848206, 0.09798534959554672]"
peking547-b200000-dod-t8,23,ok,200000.0,0.20915012134511052,0.011188298892161089,0.1675816474447367,1790881,0,0,"[176837, 0.6135531067848206, 0.09798534959554672]"
peking547-b200000-transactional-t8,2,ok,200000.0,0.20915012134511052,0.011188298892161082,0.1675816474447367,1790881,0,0,"[176837, 0.6135531067848206, 0.09798534959554672]"
peking547-b200000-transactional-t8,15,ok,200000.0,1.9965571109865088,0.0995989540610598,0.1675816474447367,1790881,0,0,"[1790794, 0.9743589758872986, 1]"
peking547-b200000-transactional-t8,16,ok,200000.0,0.20915012134511052,0.011030719324344596,0.1675816474447367,1790881,0,0,"[176837, 0.6135531067848206, 0.09798534959554672]"
peking547-b200000-transactional-t8,23,ok,200000.0,0.20915012134511052,0.011030719324344596,0.1675816474447367,1790881,0,0,"[176837, 0.6135531067848206, 0.09798534959554672]"
generated-ridge-b50000-classic-t1,2,ok,5553.0,1.0641896547471814,0.15724544683202643,0.17697385410117583,1574913,0,0,"[626750, 0.5546875, 0.3984375]"
generated-ridge-b50000-classic-t1,48,ok,7999.0,1.0365793890682853,0.12085657653852279,0.16026546048146795,1574913,0,0,"[678820, 0.4928385416666667, 0.4303385416666667]"
generated-ridge-b50000-classic-t1,80,ok,8458.0,0.9894729283102867,0.1057106779523385,0.16026546048146795,1574913,0,0,"[678820, 0.4928385416666667, 0.4303385416666667]"
generated-ridge-b50000-classic-t1,95,ok,8264.0,0.9717988452426315,0.10697041840446621,0.16026546048146795,1574913,0,0,"[678820, 0.4928385416666667, 0.4303385416666667]"
generated-ridge-b50000-dod-t8,2,ok,5553.0,1.0641896547471814,0.15724544683202643,0.17697385410117583,1574913,0,0,"[626750, 0.5546875, 0.3984375]"
generated-ridge-b50000-dod-t8,48,ok,7999.0,1.0365793890682853,0.12085657653852276,0.16026546048146795,1574913,0,0,"[678820, 0.4928385416666667, 0.4303385416666667]"
generated-ridge-b50000-dod-t8,80,ok,8458.0,0.9894729283102867,0.10571067795233853,0.16026546048146795,1574913,0,0,"[678820, 0.4928385416666667, 0.4303385416666667]"
generated-ridge-b50000-dod-t8,95,ok,8264.0,0.9717988452426315,0.10697041840446621,0.16026546048146795,1574913,0,0,"[678820, 0.4928385416666667, 0.4303385416666667]"
