run,case,triggered,attempts,certified,conflicts,executed,anyTransactionFrames,maximumAllTransactionBatch,sourceSha256
r1-dem-canyon-b50000-transactional-t1,dem-canyon-b50000-transactional-t1,568,1704,1,0,1,20,12.0,891f8721cf8498970dccfecd97abba0266a9a90e744cbc571d11685fcbf311f9
r1-dem-canyon-b50000-transactional-t8,dem-canyon-b50000-transactional-t8,568,1704,1,0,1,20,12.0,891f8721cf8498970dccfecd97abba0266a9a90e744cbc571d11685fcbf311f9
r1-dem-sierra-b50000-transactional-t8,dem-sierra-b50000-transactional-t8,874,2620,3,1,2,16,21.0,e788d437d517d68c07d0fe89c4c33b03e658c00a533c05b3ddcea8333548e50a
r1-generated-ridge-b50000-transactional-t8,generated-ridge-b50000-transactional-t8,0,0,0,0,0,49,9.0,4141e3822c17dc2859e160593cb3532c3585fbd7833c041a432d905676f120be
r1-peking547-b100000-transactional-t8,peking547-b100000-transactional-t8,98,292,2,1,1,10,46.0,bc050bc8e87ad85c5662f12bc4173159e19baaf5ef85aee311870efba8a3fe00
r1-peking547-b200000-transactional-t8,peking547-b200000-transactional-t8,224,670,2,1,1,12,150.0,1e180641c34119e83e8ac5f89a5f4c5740c43d1a8ef18c6fc8bb6fa95de08111
r1-peking547-b50000-transactional-t1,peking547-b50000-transactional-t1,82,244,2,1,1,11,41.0,6b9165fc5ab2db0d5ef20f47762c5a1d107c6f7eea2847f9710d351e313ddc1d
r1-peking547-b50000-transactional-t8,peking547-b50000-transactional-t8,82,244,2,1,1,11,41.0,6b9165fc5ab2db0d5ef20f47762c5a1d107c6f7eea2847f9710d351e313ddc1d
r2-dem-canyon-b50000-transactional-t1,dem-canyon-b50000-transactional-t1,568,1704,1,0,1,20,12.0,891f8721cf8498970dccfecd97abba0266a9a90e744cbc571d11685fcbf311f9
r2-dem-canyon-b50000-transactional-t8,dem-canyon-b50000-transactional-t8,568,1704,1,0,1,20,12.0,891f8721cf8498970dccfecd97abba0266a9a90e744cbc571d11685fcbf311f9
r2-dem-sierra-b50000-transactional-t8,dem-sierra-b50000-transactional-t8,874,2620,3,1,2,16,21.0,e788d437d517d68c07d0fe89c4c33b03e658c00a533c05b3ddcea8333548e50a
r2-generated-ridge-b50000-transactional-t8,generated-ridge-b50000-transactional-t8,0,0,0,0,0,49,9.0,4141e3822c17dc2859e160593cb3532c3585fbd7833c041a432d905676f120be
r2-peking547-b100000-transactional-t8,peking547-b100000-transactional-t8,98,292,2,1,1,10,46.0,bc050bc8e87ad85c5662f12bc4173159e19baaf5ef85aee311870efba8a3fe00
r2-peking547-b200000-transactional-t8,peking547-b200000-transactional-t8,224,670,2,1,1,12,150.0,1e180641c34119e83e8ac5f89a5f4c5740c43d1a8ef18c6fc8bb6fa95de08111
r2-peking547-b50000-transactional-t1,peking547-b50000-transactional-t1,82,244,2,1,1,11,41.0,6b9165fc5ab2db0d5ef20f47762c5a1d107c6f7eea2847f9710d351e313ddc1d
r2-peking547-b50000-transactional-t8,peking547-b50000-transactional-t8,82,244,2,1,1,11,41.0,6b9165fc5ab2db0d5ef20f47762c5a1d107c6f7eea2847f9710d351e313ddc1d
r3-dem-canyon-b50000-transactional-t1,dem-canyon-b50000-transactional-t1,568,1704,1,0,1,20,12.0,891f8721cf8498970dccfecd97abba0266a9a90e744cbc571d11685fcbf311f9
r3-dem-canyon-b50000-transactional-t8,dem-canyon-b50000-transactional-t8,568,1704,1,0,1,20,12.0,891f8721cf8498970dccfecd97abba0266a9a90e744cbc571d11685fcbf311f9
r3-dem-sierra-b50000-transactional-t8,dem-sierra-b50000-transactional-t8,874,2620,3,1,2,16,21.0,e788d437d517d68c07d0fe89c4c33b03e658c00a533c05b3ddcea8333548e50a
r3-generated-ridge-b50000-transactional-t8,generated-ridge-b50000-transactional-t8,0,0,0,0,0,49,9.0,4141e3822c17dc2859e160593cb3532c3585fbd7833c041a432d905676f120be
r3-peking547-b100000-transactional-t8,peking547-b100000-transactional-t8,98,292,2,1,1,10,46.0,bc050bc8e87ad85c5662f12bc4173159e19baaf5ef85aee311870efba8a3fe00
r3-peking547-b200000-transactional-t8,peking547-b200000-transactional-t8,224,670,2,1,1,12,150.0,1e180641c34119e83e8ac5f89a5f4c5740c43d1a8ef18c6fc8bb6fa95de08111
r3-peking547-b50000-transactional-t1,peking547-b50000-transactional-t1,82,244,2,1,1,11,41.0,6b9165fc5ab2db0d5ef20f47762c5a1d107c6f7eea2847f9710d351e313ddc1d
r3-peking547-b50000-transactional-t8,peking547-b50000-transactional-t8,82,244,2,1,1,11,41.0,6b9165fc5ab2db0d5ef20f47762c5a1d107c6f7eea2847f9710d351e313ddc1d
