run,case,group,kind,metric,mean,maximum,samples,sourceOpportunities,unobserved
r1-dem-canyon-cbt-a16,dem-canyon-cbt-a16,all,compute,computeMs,0.07519251282544846,0.0920960009098053,94,96,2
r1-dem-canyon-cbt-a16,dem-canyon-cbt-a16,all,compute,stage0Ms,0.00021174468368352539,0.005280000157654285,94,96,2
r1-dem-canyon-cbt-a16,dem-canyon-cbt-a16,all,compute,stage10Ms,0.004104170225005835,0.005439999978989363,94,96,2
r1-dem-canyon-cbt-a16,dem-canyon-cbt-a16,all,compute,stage11Ms,0.0013235744405934152,0.0018240000354126096,94,96,2
r1-dem-canyon-cbt-a16,dem-canyon-cbt-a16,all,compute,stage12Ms,0.0018934468463796409,0.002176000038161874,94,96,2
r1-dem-canyon-cbt-a16,dem-canyon-cbt-a16,all,compute,stage13Ms,0.00122212763365477,0.0015999999595806003,94,96,2
r1-dem-canyon-cbt-a16,dem-canyon-cbt-a16,all,compute,stage14Ms,0.007020936119667393,0.007199999876320362,94,96,2
r1-dem-canyon-cbt-a16,dem-canyon-cbt-a16,all,compute,stage15Ms,0.005999319171136681,0.014911999925971031,94,96,2
r1-dem-canyon-cbt-a16,dem-canyon-cbt-a16,all,compute,stage16Ms,0.001915234067982578,0.006271999794989824,94,96,2
r1-dem-canyon-cbt-a16,dem-canyon-cbt-a16,all,compute,stage1Ms,0.0022468085442867844,0.0033279999624937773,94,96,2
r1-dem-canyon-cbt-a16,dem-canyon-cbt-a16,all,compute,stage2Ms,0.005051914860117942,0.008320000022649765,94,96,2
r1-dem-canyon-cbt-a16,dem-canyon-cbt-a16,all,compute,stage3Ms,0.00951931917881395,0.015647999942302704,94,96,2
r1-dem-canyon-cbt-a16,dem-canyon-cbt-a16,all,compute,stage4Ms,0.011178212770399577,0.01708799973130226,94,96,2
r1-dem-canyon-cbt-a16,dem-canyon-cbt-a16,all,compute,stage5Ms,0.004139914942726968,0.006496000103652477,94,96,2
r1-dem-canyon-cbt-a16,dem-canyon-cbt-a16,all,compute,stage6Ms,0.0063029787518044415,0.009503999724984169,94,96,2
r1-dem-canyon-cbt-a16,dem-canyon-cbt-a16,all,compute,stage7Ms,0.004358468141327513,0.005119999870657921,94,96,2
