run,rows,rowsWithClassificationObservation,maximumObservedFaults,maximumDroppedCounter,maximumObservedActiveSlots,minimumObservedRemainingSlots,maximumObservedCommittedSlots,sourceSha256
r1-dem-canyon-cbt-a16,96,94,0,0,34997,489291,8965,d679f8cd3d2b2e6df55415b2781c4a60b558634bd754db605be4635e89d963e9
r1-dem-canyon-cbt-a4,96,94,0,0,125454,398834,31996,3a7ce96c8e5815c83f90991a9d278e3f2b518585d34bd3db0548c9f9902f52e9
r1-dem-canyon-cbt-a8,96,94,0,0,67292,456996,16744,2b65ba279f8bb3f33be1e3a5501212e6a01ad8c8d64540a808c32e3469dbdbb6
r1-dem-sierra-cbt-a16,96,94,0,0,28784,495504,6481,82b7609b9f77ac1b6e8d549712bd1c2a6bdf38552a431c942928ed7d9230a09d
r1-dem-sierra-cbt-a4,96,94,0,0,110508,413780,24934,2b323f0034373bf8eb34c4a744bb4adeb32e8ebc9aec390cf15427221fe7840c
r1-dem-sierra-cbt-a8,96,94,0,0,56233,468055,13039,9026984bf31bea3e1f8d40d9c45e5cf82f9ca589544705503d5ff1df08d118c6
r1-generated-ridge-cbt-a16,96,94,0,0,26158,498130,6302,8088b491951cc01c269a6aea25f3a0d5da98008e87a6724a152c399184e98518
r1-generated-ridge-cbt-a4,96,94,0,0,103541,420747,25311,dcd16542484558d5691d18e951a2a6cf751d76b409b09f22160bf3d0c71de2a6
r1-generated-ridge-cbt-a8,96,94,0,0,52089,472199,12654,b1a5e60d5c4b32331b9a129b73368fcabad94a25107da1b672dd44181f1c5a0c
r1-peking547-cbt-a16,24,22,0,0,45840,478448,11749,25b7918ac1e8e8ead98ee27bddb41c57365b3e8d80ee17a067ab7f80a6218176
r1-peking547-cbt-a4,24,22,0,0,141011,383277,43389,0f783e0ea7653c75ade747142f2f7b1b4bc926eade2c1c1b269b79060e4db8a7
r1-peking547-cbt-a8,24,22,0,0,85244,439044,23073,f8aa5291cabb6f6572c77463b1afd4697a53002d5aae5117ed9174ce602fac5f
r2-dem-canyon-cbt-a16,96,94,0,0,34997,489291,8965,394683f2ee132fe412939446c52a8f492ebbbd6be13a9db1c2e636ac5ffab1fc
r2-dem-canyon-cbt-a4,96,94,0,0,125454,398834,31996,1ff9ab068418b5958a803ef35f553114dfc96a6535ee78363c1bf31c3b08c4f2
r2-dem-canyon-cbt-a8,96,94,0,0,67292,456996,16744,8e01623de5a6bd5e9d4a21c742348ef516867a5f0a1243b1e81371a02ffc5735
r2-dem-sierra-cbt-a16,96,94,0,0,28784,495504,6481,b8fe6cf6ccd862774fcf587fd677b2558528c0fa71839b8325390175d91760eb
r2-dem-sierra-cbt-a4,96,94,0,0,110508,413780,24934,351b83c1cc0d02962078611f41fe4b762b539456cac2fdc1f966ac9985a51e3a
