case,group,metric,processes,mean,minimum,maximum,values
dem-canyon-b50000-classic-t1,warm,cpuMs,3,44.768305699885104,43.35525473727975,45.5395827857397,"[45.41007957663587, 45.5395827857397, 43.35525473727975]"
dem-canyon-b50000-classic-t1,warm,frameMs,3,45.83636810035843,44.39153655913979,46.648672043010755,"[46.46889569892473, 46.648672043010755, 44.39153655913979]"
dem-canyon-b50000-classic-t1,warm,uploadMs,3,0.3304853032711947,0.3121924722036447,0.34753655823027735,"[0.331726879379662, 0.34753655823027735, 0.3121924722036447]"
dem-canyon-b50000-classic-t1,warm,uploadBytes,3,860210.5806451613,860210.5806451613,860210.5806451613,"[860210.5806451613, 860210.5806451613, 860210.5806451613]"
dem-canyon-b50000-classic-t1,warm,faces,3,43794.215053763444,43794.215053763444,43794.215053763444,"[43794.215053763444, 43794.215053763444, 43794.215053763444]"
dem-canyon-b50000-classic-t1,warm,utilization,3,0.8758843010752688,0.8758843010752688,0.8758843010752688,"[0.8758843010752688, 0.8758843010752688, 0.8758843010752688]"
dem-canyon-b50000-classic-t1,warm,unattributedCpuMs,3,22.254620009582926,21.19225031751902,22.799588188408535,"[22.772021522821223, 22.799588188408535, 21.19225031751902]"
dem-canyon-b50000-classic-t1,warm,seedMs,0,,,,[]
dem-canyon-b50000-classic-t1,warm,initializeMs,0,,,,[]
dem-canyon-b50000-classic-t1,warm,viewMs,0,,,,[]
dem-canyon-b50000-classic-t1,warm,receiverMs,0,,,,[]
dem-canyon-b50000-classic-t1,warm,donorMs,0,,,,[]
dem-canyon-b50000-classic-t1,warm,reservationMs,0,,,,[]
dem-canyon-b50000-classic-t1,warm,topologyPrepareMs,0,,,,[]
dem-canyon-b50000-classic-t1,warm,topologyPublishMs,0,,,,[]
dem-canyon-b50000-classic-t1,warm,sampleRepairMs,0,,,,[]
dem-canyon-b50000-classic-t1,warm,meshPrepareMs,0,,,,[]
dem-canyon-b50000-classic-t1,warm,continuationMs,0,,,,[]
dem-canyon-b50000-classic-t1,warm,adapterMs,0,,,,[]
dem-canyon-b50000-classic-t1,warm,splitScoreMs,3,13.946067407567014,13.835361255112515,14.160225786188597,"[13.835361255112515, 14.160225786188597, 13.84261518139993]"
dem-canyon-b50000-classic-t1,warm,mergeScoreMs,3,2.8074268724328726,2.765002131462097,2.8328182838296376,"[2.8244602020068834, 2.8328182838296376, 2.765002131462097]"
dem-canyon-b50000-classic-t1,warm,splitTopologyMs,3,2.3777741236399605,2.31851222908615,2.473583505044551,"[2.473583505044551, 2.3412266367891807, 2.31851222908615]"
dem-canyon-b50000-classic-t1,warm,mergeTopologyMs,3,1.4994674596842046,1.426535086125456,1.5621961082822533,"[1.5621961082822533, 1.5096711846449042, 1.426535086125456]"
dem-canyon-b50000-classic-t1,warm,meshEmitMs,3,1.8829498269781304,1.8103397916871002,1.9424569833684482,"[1.9424569833684482, 1.8960527058788426, 1.8103397916871002]"
dem-canyon-b50000-classic-t1,warm,raw,0,,,,[]
dem-canyon-b50000-classic-t1,warm,examined,0,,,,[]
dem-canyon-b50000-classic-t1,warm,receivers,0,,,,[]
dem-canyon-b50000-classic-t1,warm,need,0,,,,[]
dem-canyon-b50000-classic-t1,warm,feasible,0,,,,[]
dem-canyon-b50000-classic-t1,warm,exchanges,0,,,,[]
dem-canyon-b50000-classic-t1,warm,free,0,,,,[]
dem-canyon-b50000-classic-t1,warm,pairs,0,,,,[]
dem-canyon-b50000-classic-t1,warm,conflicts,0,,,,[]
dem-canyon-b50000-classic-t1,warm,donorReuse,0,,,,[]
dem-canyon-b50000-classic-t1,warm,touches,0,,,,[]
dem-canyon-b50000-classic-t1,warm,evaluations,0,,,,[]
dem-canyon-b50000-classic-t1,warm,vertexWrites,0,,,,[]
dem-canyon-b50000-classic-t1,warm,indexWrites,0,,,,[]
dem-canyon-b50000-classic-t1,warm,gpuComputeMs,0,,,,[]
dem-canyon-b50000-classic-t1,warm,gpuDrawMs,0,,,,[]
dem-canyon-b50000-classic-t1,moving,cpuMs,3,43.405877025648095,41.27962428125842,44.823979180434655,"[44.11402761525121, 44.823979180434655, 41.27962428125842]"
dem-canyon-b50000-classic-t1,moving,frameMs,3,44.76635862068965,42.622979310344824,46.28983103448276,"[45.38626551724138, 46.28983103448276, 42.622979310344824]"
dem-canyon-b50000-classic-t1,moving,uploadMs,3,0.5444137918195505,0.5087517207038814,0.6025517238625164,"[0.5087517207038814, 0.6025517238625164, 0.5219379308922537]"
dem-canyon-b50000-classic-t1,moving,uploadBytes,3,1166696.2758620689,1166696.2758620689,1166696.2758620689,"[1166696.2758620689, 1166696.2758620689, 1166696.2758620689]"
dem-canyon-b50000-classic-t1,moving,faces,3,39451.793103448275,39451.793103448275,39451.793103448275,"[39451.793103448275, 39451.793103448275, 39451.793103448275]"
dem-canyon-b50000-classic-t1,moving,utilization,3,0.7890358620689655,0.7890358620689655,0.7890358620689655,"[0.7890358620689655, 0.7890358620689655, 0.7890358620689655]"
dem-canyon-b50000-classic-t1,moving,unattributedCpuMs,3,20.16702641495343,19.065272491553735,20.856099926192186,"[20.579706827114368, 20.856099926192186, 19.065272491553735]"
dem-canyon-b50000-classic-t1,moving,seedMs,0,,,,[]
dem-canyon-b50000-classic-t1,moving,initializeMs,0,,,,[]
dem-canyon-b50000-classic-t1,moving,viewMs,0,,,,[]
dem-canyon-b50000-classic-t1,moving,receiverMs,0,,,,[]
dem-canyon-b50000-classic-t1,moving,donorMs,0,,,,[]
dem-canyon-b50000-classic-t1,moving,reservationMs,0,,,,[]
dem-canyon-b50000-classic-t1,moving,topologyPrepareMs,0,,,,[]
dem-canyon-b50000-classic-t1,moving,topologyPublishMs,0,,,,[]
dem-canyon-b50000-classic-t1,moving,sampleRepairMs,0,,,,[]
dem-canyon-b50000-classic-t1,moving,meshPrepareMs,0,,,,[]
dem-canyon-b50000-classic-t1,moving,continuationMs,0,,,,[]
dem-canyon-b50000-classic-t1,moving,adapterMs,0,,,,[]
dem-canyon-b50000-classic-t1,moving,splitScoreMs,3,12.557112688305734,12.096169027788886,13.107631009200524,"[12.467538027927793, 13.107631009200524, 12.096169027788886]"
dem-canyon-b50000-classic-t1,moving,mergeScoreMs,3,2.490844819052466,2.438903434523221,2.5243724111852974,"[2.5243724111852974, 2.50925861144888, 2.438903434523221]"
dem-canyon-b50000-classic-t1,moving,splitTopologyMs,3,2.9185141160570343,2.7487276710312942,3.0524587836758843,"[3.0524587836758843, 2.954355893463924, 2.7487276710312942]"
dem-canyon-b50000-classic-t1,moving,mergeTopologyMs,3,2.5048169055204283,2.422251639695003,2.5932239766778618,"[2.5932239766778618, 2.49897510018842, 2.422251639695003]"
dem-canyon-b50000-classic-t1,moving,meshEmitMs,3,2.7675620817590034,2.508300016666281,2.897658639940722,"[2.8967275886700072, 2.897658639940722, 2.508300016666281]"
dem-canyon-b50000-classic-t1,moving,raw,0,,,,[]
dem-canyon-b50000-classic-t1,moving,examined,0,,,,[]
dem-canyon-b50000-classic-t1,moving,receivers,0,,,,[]
dem-canyon-b50000-classic-t1,moving,need,0,,,,[]
dem-canyon-b50000-classic-t1,moving,feasible,0,,,,[]
dem-canyon-b50000-classic-t1,moving,exchanges,0,,,,[]
dem-canyon-b50000-classic-t1,moving,free,0,,,,[]
dem-canyon-b50000-classic-t1,moving,pairs,0,,,,[]
dem-canyon-b50000-classic-t1,moving,conflicts,0,,,,[]
dem-canyon-b50000-classic-t1,moving,donorReuse,0,,,,[]
dem-canyon-b50000-classic-t1,moving,touches,0,,,,[]
dem-canyon-b50000-classic-t1,moving,evaluations,0,,,,[]
dem-canyon-b50000-classic-t1,moving,vertexWrites,0,,,,[]
dem-canyon-b50000-classic-t1,moving,indexWrites,0,,,,[]
dem-canyon-b50000-classic-t1,moving,gpuComputeMs,0,,,,[]
dem-canyon-b50000-classic-t1,moving,gpuDrawMs,0,,,,[]
dem-canyon-b50000-classic-t1,return-recovery,cpuMs,3,45.38565619289875,44.29577478766441,45.9973531216383,"[45.9973531216383, 45.86384066939354, 44.29577478766441]"
dem-canyon-b50000-classic-t1,return-recovery,frameMs,3,46.32121614583333,45.1929140625,46.9594625,"[46.9594625, 46.811271875, 45.1929140625]"
dem-canyon-b50000-classic-t1,return-recovery,uploadMs,3,0.23354895689772093,0.21715156123536872,0.25151249815462506,"[0.25151249815462506, 0.231982811303169, 0.21715156123536872]"
dem-canyon-b50000-classic-t1,return-recovery,uploadBytes,3,721334.25,721334.25,721334.25,"[721334.25, 721334.25, 721334.25]"
dem-canyon-b50000-classic-t1,return-recovery,faces,3,45761.875,45761.875,45761.875,"[45761.875, 45761.875, 45761.875]"
dem-canyon-b50000-classic-t1,return-recovery,utilization,3,0.9152375,0.9152375,0.9152375,"[0.9152375, 0.9152375, 0.9152375]"
dem-canyon-b50000-classic-t1,return-recovery,unattributedCpuMs,3,23.200560857149412,22.156037144909533,23.76541411931339,"[23.76541411931339, 23.680231307225313, 22.156037144909533]"
dem-canyon-b50000-classic-t1,return-recovery,seedMs,0,,,,[]
dem-canyon-b50000-classic-t1,return-recovery,initializeMs,0,,,,[]
dem-canyon-b50000-classic-t1,return-recovery,viewMs,0,,,,[]
dem-canyon-b50000-classic-t1,return-recovery,receiverMs,0,,,,[]
dem-canyon-b50000-classic-t1,return-recovery,donorMs,0,,,,[]
dem-canyon-b50000-classic-t1,return-recovery,reservationMs,0,,,,[]
dem-canyon-b50000-classic-t1,return-recovery,topologyPrepareMs,0,,,,[]
dem-canyon-b50000-classic-t1,return-recovery,topologyPublishMs,0,,,,[]
dem-canyon-b50000-classic-t1,return-recovery,sampleRepairMs,0,,,,[]
dem-canyon-b50000-classic-t1,return-recovery,meshPrepareMs,0,,,,[]
