configuration,case,run,terrain,algorithm,budget,area,capacity,frame,status,valid,N,Emax,RMS,Hmax,Q,missing,ambiguous,witness,meshHash,poseHash,sampleHash,qualityPath
3e22f7658e73b2e4cd53f798a179a450bc1dae4b4a6b37060f1c6a10af446ec4,dem-canyon-b50000-classic-t1,visual-dem-canyon-b50000-classic-t1,dem-canyon,classic,50000,,,2,ok,True,50000.0,2.3156938104516644,0.29809040742632686,1.165875234581235,1574913,0,0,"[1325460, 0.8515625, 0.841796875]",2190167456589759689,2444162831860700372,2831584742635955469,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/experiment-infrastructure/fer-02/quality-dem-canyon-b50000-classic-t1
3e22f7658e73b2e4cd53f798a179a450bc1dae4b4a6b37060f1c6a10af446ec4,dem-canyon-b50000-classic-t1,visual-dem-canyon-b50000-classic-t1,dem-canyon,classic,50000,,,48,ok,True,49999.0,1.839557369258571,0.24567629773537125,6.259914564360576,1574913,0,0,"[343060, 0.267578125, 0.21875]",10617879421075591027,17793952616048786981,2831584742635955469,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/experiment-infrastructure/fer-02/quality-dem-canyon-b50000-classic-t1
3e22f7658e73b2e4cd53f798a179a450bc1dae4b4a6b37060f1c6a10af446ec4,dem-canyon-b50000-classic-t1,visual-dem-canyon-b50000-classic-t1,dem-canyon,classic,50000,,,80,ok,True,50000.0,2.348192641609855,0.2990287537793469,1.165875234581235,1574913,0,0,"[1073620, 0.92578125, 0.681640625]",13217154445652700383,3326756437934915451,2831584742635955469,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/experiment-infrastructure/fer-02/quality-dem-canyon-b50000-classic-t1
3e22f7658e73b2e4cd53f798a179a450bc1dae4b4a6b37060f1c6a10af446ec4,dem-canyon-b50000-classic-t1,visual-dem-canyon-b50000-classic-t1,dem-canyon,classic,50000,,,95,ok,True,50000.0,2.348192641609855,0.2990287537793469,1.165875234581235,1574913,0,0,"[1073620, 0.92578125, 0.681640625]",13217154445652700383,3326756437934915451,2831584742635955469,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/experiment-infrastructure/fer-02/quality-dem-canyon-b50000-classic-t1
49965481f8fe326feaf6aed69044d3a96e729d2452e5307b2610c62638fea894,dem-canyon-b50000-dod-t8,visual-dem-canyon-b50000-dod-t8,dem-canyon,dod,50000,,,2,ok,True,49996.0,2.3156938104516644,0.2981173392036623,1.165875234581235,1574913,0,0,"[1325460, 0.8515625, 0.841796875]",14389074011157899099,2444162831860700372,2831584742635955469,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/experiment-infrastructure/fer-02/quality-dem-canyon-b50000-dod-t8
49965481f8fe326feaf6aed69044d3a96e729d2452e5307b2610c62638fea894,dem-canyon-b50000-dod-t8,visual-dem-canyon-b50000-dod-t8,dem-canyon,dod,50000,,,48,ok,True,49999.0,1.839557369258571,0.24567629773537125,6.259914564360576,1574913,0,0,"[343060, 0.267578125, 0.21875]",2957331639505755403,17793952616048786981,2831584742635955469,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/experiment-infrastructure/fer-02/quality-dem-canyon-b50000-dod-t8
49965481f8fe326feaf6aed69044d3a96e729d2452e5307b2610c62638fea894,dem-canyon-b50000-dod-t8,visual-dem-canyon-b50000-dod-t8,dem-canyon,dod,50000,,,80,ok,True,50000.0,2.348192641609855,0.2990287537793469,1.165875234581235,1574913,0,0,"[1073620, 0.92578125, 0.681640625]",6910887810557670167,3326756437934915451,2831584742635955469,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/experiment-infrastructure/fer-02/quality-dem-canyon-b50000-dod-t8
49965481f8fe326feaf6aed69044d3a96e729d2452e5307b2610c62638fea894,dem-canyon-b50000-dod-t8,visual-dem-canyon-b50000-dod-t8,dem-canyon,dod,50000,,,95,ok,True,50000.0,2.348192641609855,0.2990287537793469,1.165875234581235,1574913,0,0,"[1073620, 0.92578125, 0.681640625]",6910887810557670167,3326756437934915451,2831584742635955469,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/experiment-infrastructure/fer-02/quality-dem-canyon-b50000-dod-t8
9364a719514a9c3167efeec4e6b8f69658f16ccabff20318d29537bcabd32f54,dem-canyon-b50000-transactional-t8,visual-dem-canyon-b50000-transactional-t8,dem-canyon,transactional,50000,,,2,ok,True,50000.0,4.63692509577418,0.30282059154741237,1.165875234581235,1574913,0,0,"[1501038, 0.96875, 0.953125]",18382944899644861613,2444162831860700372,2831584742635955469,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/experiment-infrastructure/fer-02/quality-dem-canyon-b50000-transactional-t8
9364a719514a9c3167efeec4e6b8f69658f16ccabff20318d29537bcabd32f54,dem-canyon-b50000-transactional-t8,visual-dem-canyon-b50000-transactional-t8,dem-canyon,transactional,50000,,,48,ok,True,50000.0,9.274476736648769,0.47920022881296753,1.165875234581235,1574913,0,0,"[1574412, 0.837890625, 1]",11488816544551648613,17793952616048786981,2831584742635955469,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/experiment-infrastructure/fer-02/quality-dem-canyon-b50000-transactional-t8
9364a719514a9c3167efeec4e6b8f69658f16ccabff20318d29537bcabd32f54,dem-canyon-b50000-transactional-t8,visual-dem-canyon-b50000-transactional-t8,dem-canyon,transactional,50000,,,80,ok,True,50000.0,2.348192641609855,0.2991600830810882,1.165875234581235,1574913,0,0,"[1073620, 0.92578125, 0.681640625]",14141856504628337756,3326756437934915451,2831584742635955469,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/experiment-infrastructure/fer-02/quality-dem-canyon-b50000-transactional-t8
9364a719514a9c3167efeec4e6b8f69658f16ccabff20318d29537bcabd32f54,dem-canyon-b50000-transactional-t8,visual-dem-canyon-b50000-transactional-t8,dem-canyon,transactional,50000,,,95,ok,True,50000.0,2.348192641609855,0.2991600830810882,1.165875234581235,1574913,0,0,"[1073620, 0.92578125, 0.681640625]",14141856504628337756,3326756437934915451,2831584742635955469,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/experiment-infrastructure/fer-02/quality-dem-canyon-b50000-transactional-t8
df6c1a9f9fe476af8eacda51533d239c6d077ec322f61d53be9ac16e4df1490a,dem-canyon-cbt-a16,visual-dem-canyon-cbt-a16,dem-canyon,cbt,,16,524288,2,ok,True,48.0,63.06815471320398,10.541334021942662,6.420383776015284,1574913,0,0,"[1501664, 0.171875, 0.955078125]",6390742029438717001,2444162831860700372,2831584742635955469,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/experiment-infrastructure/fer-02/quality-dem-canyon-cbt-a16
df6c1a9f9fe476af8eacda51533d239c6d077ec322f61d53be9ac16e4df1490a,dem-canyon-cbt-a16,visual-dem-canyon-cbt-a16,dem-canyon,cbt,,16,524288,48,ok,True,26716.0,11.11590374977909,0.8138218240454064,4.758042303022039,1574913,0,0,"[182840, 0.146484375, 0.1171875]",6582002914504972521,17793952616048786981,2831584742635955469,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/experiment-infrastructure/fer-02/quality-dem-canyon-cbt-a16
df6c1a9f9fe476af8eacda51533d239c6d077ec322f61d53be9ac16e4df1490a,dem-canyon-cbt-a16,visual-dem-canyon-cbt-a16,dem-canyon,cbt,,16,524288,80,ok,True,34973.0,9.069726118500801,0.6627738569726694,2.4980040088904003,1574913,0,0,"[1467722, 0.12955729166666666, 0.9322916666666666]",15146898259802970087,3326756437934915451,2831584742635955469,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/experiment-infrastructure/fer-02/quality-dem-canyon-cbt-a16
df6c1a9f9fe476af8eacda51533d239c6d077ec322f61d53be9ac16e4df1490a,dem-canyon-cbt-a16,visual-dem-canyon-cbt-a16,dem-canyon,cbt,,16,524288,95,ok,True,34973.0,9.069726118500801,0.662754138865199,2.4980040088904003,1574913,0,0,"[1467722, 0.12955729166666666, 0.9322916666666666]",6927217182808658160,3326756437934915451,2831584742635955469,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/experiment-infrastructure/fer-02/quality-dem-canyon-cbt-a16
bedc5b60257b3557824eb8c006bb525a59b7c28bdff7b58a83e28e689ff2a70e,dem-canyon-cbt-a4,visual-dem-canyon-cbt-a4,dem-canyon,cbt,,4,524288,2,ok,True,48.0,63.06815471320398,10.541334021942662,6.420383776015284,1574913,0,0,"[1501664, 0.171875, 0.955078125]",448624912503983969,2444162831860700372,2831584742635955469,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/experiment-infrastructure/fer-02/quality-dem-canyon-cbt-a4
bedc5b60257b3557824eb8c006bb525a59b7c28bdff7b58a83e28e689ff2a70e,dem-canyon-cbt-a4,visual-dem-canyon-cbt-a4,dem-canyon,cbt,,4,524288,48,invalid-quality,False,87729.0,,,,1574913,0,104,"[182840, 0.146484375, 0.1171875]",8338219098455829675,17793952616048786981,2831584742635955469,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/experiment-infrastructure/fer-02/quality-dem-canyon-cbt-a4
bedc5b60257b3557824eb8c006bb525a59b7c28bdff7b58a83e28e689ff2a70e,dem-canyon-cbt-a4,visual-dem-canyon-cbt-a4,dem-canyon,cbt,,4,524288,80,invalid-quality,False,125405.0,,,,1574913,0,123,"[1470786, 0.126953125, 0.935546875]",2809077340417714234,3326756437934915451,2831584742635955469,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/experiment-infrastructure/fer-02/quality-dem-canyon-cbt-a4
bedc5b60257b3557824eb8c006bb525a59b7c28bdff7b58a83e28e689ff2a70e,dem-canyon-cbt-a4,visual-dem-canyon-cbt-a4,dem-canyon,cbt,,4,524288,95,invalid-quality,False,125407.0,,,,1574913,0,123,"[1403098, 0.107421875, 0.892578125]",4132117495529583181,3326756437934915451,2831584742635955469,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/experiment-infrastructure/fer-02/quality-dem-canyon-cbt-a4
6a0c74c5887b285e7660ec736dc40ff635574464f1d82044c9dd8d41c4c7dd70,dem-canyon-cbt-a8,visual-dem-canyon-cbt-a8,dem-canyon,cbt,,8,524288,2,ok,True,48.0,63.06815471320398,10.541334021942662,6.420383776015284,1574913,0,0,"[1501664, 0.171875, 0.955078125]",6390742029438717001,2444162831860700372,2831584742635955469,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/experiment-infrastructure/fer-02/quality-dem-canyon-cbt-a8
