case,frame,visibleSamples,Emax,referenceEmax,Dmax,E_p95,E_p99,excess_p95,excess_p99,witness,fractionExcessOver0.1px,fractionErrorOver0.1px,fractionExcessOver0.25px,fractionErrorOver0.25px,fractionExcessOver1px,fractionErrorOver1px
dem-canyon-b50000-transactional-t8,2,1452205,4.63692509577418,2.3156938104516644,4.636922599457437,0.6358902083031182,0.8817147803998899,1.1539380562198932e-15,0.06221721357658402,"[1501038, 0.96875, 0.953125]",0.00863652170320306,0.6339497522732672,0.005013754945066296,0.33679335906431945,0.0004593015448920779,0.00465016991402729
dem-canyon-b50000-transactional-t8,48,1114577,9.274476736648769,1.839557369258571,8.972326903505774,0.7567043017915054,1.4799361289463504,0.5120671949745631,1.3121539029904858,"[1574412, 0.837890625, 1]",0.195385334526013,0.6619964345217961,0.11772986523138375,0.3777065200520018,0.014191033907930991,0.02128879386529598
dem-canyon-b50000-transactional-t8,80,1456877,2.348192641609855,2.348192641609855,1.7298481579334128,0.6316319213975151,0.8712730778654841,1.429412144204889e-15,3.611166921047009e-14,"[1073620, 0.92578125, 0.681640625]",0.0005649069894026744,0.6332518119237245,0.0001949375273272898,0.3354545373425485,6.863997441101754e-06,0.004132126459543256
dem-canyon-b50000-transactional-t8,95,1456877,2.348192641609855,2.348192641609855,1.7298481579334128,0.6316319213975151,0.8712730778654841,1.429412144204889e-15,3.611166921047009e-14,"[1073620, 0.92578125, 0.681640625]",0.0005649069894026744,0.6332518119237245,0.0001949375273272898,0.3354545373425485,6.863997441101754e-06,0.004132126459543256
dem-sierra-b50000-transactional-t8,2,1499708,1.5864080125804836,1.1726921856954238,1.5537155359378003,0.5218159975322664,0.6699539459654492,5.312764117525923e-15,0.07886647018754234,"[1559282, 0.916015625, 0.990234375]",0.008761705612025808,0.6600251515628376,0.0037547309209526123,0.31738445083976347,6.601285050156431e-05,0.0002487150832028635
dem-sierra-b50000-transactional-t8,48,1155480,2.015011653542709,1.0416797893895509,1.9558631424549464,0.5890485841388416,0.7730592849579581,0.39777074405643403,0.603571146349128,"[1561810, 0.73828125, 0.9921875]",0.2980129470003808,0.6793557655692872,0.1258567867899055,0.35435403468688337,0.0004474331013950912,0.0010073735590403988
dem-sierra-b50000-transactional-t8,80,1503180,1.133568442602344,1.08957745809527,1.1335683595362047,0.5173628798785791,0.6602906680074049,0.3354510591173442,0.5139862354043957,"[864998, 0.05859375, 0.55078125]",0.2550472997245839,0.6587654173152916,0.09405194321372025,0.3151585305818332,6.652563232613526e-06,2.9271278223499515e-05
dem-sierra-b50000-transactional-t8,95,1503180,1.133568442602344,1.08957745809527,1.1335683595362047,0.5173628798785791,0.6602906680074049,0.3354510591173442,0.5139862354043957,"[864998, 0.05859375, 0.55078125]",0.2550472997245839,0.6587654173152916,0.09405194321372025,0.3151585305818332,6.652563232613526e-06,2.9271278223499515e-05
generated-ridge-b50000-transactional-t8,2,1574913,1.0641896547471814,1.0641896547471814,1.000953324038427,0.40966707321952545,0.5911630609861966,8.215650382226158e-15,0.0145692307688175,"[626750, 0.5546875, 0.3984375]",0.005018054965575876,0.24070789942047593,0.0021886923277666765,0.12095207798779996,6.349557086645421e-07,5.714601377980879e-06
generated-ridge-b50000-transactional-t8,48,1574913,1.1639886185997521,1.0365793890682853,1.1639868221757,0.41586946003930403,0.6186687201027787,0.18280187796829112,0.4622560461907624,"[626750, 0.5546875, 0.3984375]",0.07613626911454792,0.23908939731909,0.0354546568604107,0.12289885219056544,7.619468503974505e-06,2.9842918307233478e-05
generated-ridge-b50000-transactional-t8,80,1555427,1.1313194441342629,0.9894729283102867,1.1313153536394243,0.4044952100817292,0.5987803342435214,0.22400715954707554,0.46394753006262207,"[920366, 0.0703125, 0.5859375]",0.09670656353528645,0.2405995266894557,0.04276574856936391,0.12001398972757962,3.214551373995694e-06,1.99302185187733e-05
generated-ridge-b50000-transactional-t8,95,1574913,1.0599563283465288,0.9717988452426315,1.0599546927807537,0.40720894121234086,0.5887792057861284,0.21516171831883857,0.45356594331076805,"[626750, 0.5546875, 0.3984375]",0.09325150024160064,0.23986340832795208,0.04051779368130176,0.12037045855866324,1.2699114173290843e-06,6.349557086645421e-06
peking547-b100000-transactional-t8,2,1709754,0.3308686511891794,0.3308686511891794,2.386520885425125e-13,0.040396325163640424,0.08232343472388111,0.0,4.979523737791425e-15,"[209346, 0.5311355590820312, 0.11721611768007278]",0.0,0.006057596589918783,0.0,5.0884513210672414e-05,0.0,0.0
peking547-b100000-transactional-t8,15,1712379,1.9965571109865088,0.34919519544202426,1.977369318373242,0.0854204713647156,0.4150364064136462,0.07242546232074203,0.4023918231404094,"[1790794, 0.9743589758872986, 1]",0.03660463016656943,0.04212794013474821,0.014895651021181643,0.01570037941366952,0.002952617382016481,0.0030472226066776105
peking547-b100000-transactional-t8,16,1709754,0.3308686511891794,0.3308686511891794,0.16294103758673711,0.0403232793633971,0.08220235478983409,0.0,9.894862706971708e-15,"[209346, 0.5311355590820312, 0.11721611768007278]",8.188312470682917e-06,0.006045314121212759,0.0,5.0884513210672414e-05,0.0,0.0
peking547-b100000-transactional-t8,23,1709754,0.3308686511891794,0.3308686511891794,0.16294103758673711,0.0403232793633971,0.08220235478983409,0.0,9.894862706971708e-15,"[209346, 0.5311355590820312, 0.11721611768007278]",8.188312470682917e-06,0.006045314121212759,0.0,5.0884513210672414e-05,0.0,0.0
peking547-b200000-transactional-t8,2,1709754,0.20915012134511052,0.20915012134511052,2.4158508920017925e-13,0.022377141589851747,0.04445048962798413,0.0,4.9873299934333204e-15,"[176837, 0.6135531067848206, 0.09798534959554672]",0.0,0.0008890167825312881,0.0,0.0,0.0,0.0
peking547-b200000-transactional-t8,15,1712379,1.9965571109865088,0.19377242496389396,1.9918719198761548,0.04731732262899706,0.3734073900260063,0.03840582945459001,0.36950030873355594,"[1790794, 0.9743589758872986, 1]",0.024790656741293837,0.026231926460205363,0.013138446570531407,0.013361528026213824,0.0028778675748768233,0.0029111545983687022
peking547-b200000-transactional-t8,16,1709754,0.20915012134511052,0.20915012134511052,0.07487790280796558,0.022045258665445277,0.04371594138914084,0.0,1.4906733616579222e-14,"[176837, 0.6135531067848206, 0.09798534959554672]",0.0,0.0008451508228669154,0.0,0.0,0.0,0.0
peking547-b200000-transactional-t8,23,1709754,0.20915012134511052,0.20915012134511052,0.07487790280796558,0.022045258665445277,0.04371594138914084,0.0,1.4906733616579222e-14,"[176837, 0.6135531067848206, 0.09798534959554672]",0.0,0.0008451508228669154,0.0,0.0,0.0,0.0
peking547-b50000-transactional-t8,2,1709754,0.44188556383409333,0.44188556383409333,2.4045695989904914e-13,0.07389486660093483,0.1450765252959195,0.0,4.971717482149529e-15,"[13560, 0.8040292859077454, 0.007326007355004549]",0.0,0.02575809151491969,0.0,0.001322412464015291,0.0,0.0
peking547-b50000-transactional-t8,15,1712379,1.9965571109865088,0.418727498700991,1.977369318373242,0.13846695854105484,0.49102852330951524,0.11115465059684895,0.4671310618350007,"[1790794, 0.9743589758872986, 1]",0.05570028597641059,0.07521232157133438,0.02054393332317203,0.023064987365530646,0.0029864883883766384,0.0031137966536613684
peking547-b50000-transactional-t8,16,1709754,0.44188556383409333,0.44188556383409333,0.10112523828974931,0.07356549395259616,0.143994656975213,0.0,1.8949472796025262e-14,"[13560, 0.8040292859077454, 0.007326007355004549]",1.1697589243832738e-06,0.025423540462546072,0.0,0.0012808860221996848,0.0,0.0
