case,run,warmFrames,noTopologyFrames,noTopologyCpuFraction,noTopologyMeanCpuMs,noTopologyViewMs,noTopologyReceiverMs,raw,examined,receivers,need,feasible,exchanges,free,pairs,conflicts,donorReuse,evaluations,touches,flips,receiverPerExamined,feasiblePerNeed,exchangesPerNeed,reservationUsPerPairAggregate
dem-canyon-b50000-transactional-t8,r1-dem-canyon-b50000-transactional-t8,93,76,0.6067601748376855,13.347619693530234,688.6992,313.0324,390996,15360,165,165,163,77,0,15154,8843,491,102431196,508176,1,0.0107421875,0.9878787878787879,0.4666666666666667,3.237747740906675
dem-canyon-b50000-transactional-t8,r2-dem-canyon-b50000-transactional-t8,93,76,0.6013528771782062,13.095897373400236,715.54,267.6524,390996,15360,165,165,163,77,0,15154,8843,491,102431196,508176,1,0.0107421875,0.9878787878787879,0.4666666666666667,3.179482117093174
dem-canyon-b50000-transactional-t8,r3-dem-canyon-b50000-transactional-t8,93,76,0.5961095498505489,12.311732938415126,660.7651,261.0669,390996,15360,165,165,163,77,0,15154,8843,491,102431196,508176,1,0.0107421875,0.9878787878787879,0.4666666666666667,3.2437314906219155
dem-sierra-b50000-transactional-t8,r1-dem-sierra-b50000-transactional-t8,93,80,0.7216478109104368,9.673287469148637,519.5129000000001,243.9715,217269,15008,169,0,0,0,92,0,77,0,102421927,209971,2,0.011260660980810234,,,
dem-sierra-b50000-transactional-t8,r2-dem-sierra-b50000-transactional-t8,93,80,0.722374555545762,9.924311274290085,535.1272,248.2104,217269,15008,169,0,0,0,92,0,77,0,102421927,209971,2,0.011260660980810234,,,
dem-sierra-b50000-transactional-t8,r3-dem-sierra-b50000-transactional-t8,93,80,0.7269720856662975,10.024472507834435,544.1779,246.7839,217269,15008,169,0,0,0,92,0,77,0,102421927,209971,2,0.011260660980810234,,,
generated-ridge-b50000-transactional-t8,r1-generated-ridge-b50000-transactional-t8,93,46,0.45239035755719487,31.80017844490383,490.9956,963.7849,65913,14548,246,0,0,0,152,0,94,0,151364864,2797340,0,0.01690954083035469,,,
generated-ridge-b50000-transactional-t8,r2-generated-ridge-b50000-transactional-t8,93,46,0.45700792714590005,33.211769643037215,532.1080000000001,987.2995,65913,14548,246,0,0,0,152,0,94,0,151364864,2797340,0,0.01690954083035469,,,
generated-ridge-b50000-transactional-t8,r3-generated-ridge-b50000-transactional-t8,93,46,0.4532485176528707,32.20931065600851,514.8062,958.75,65913,14548,246,0,0,0,152,0,94,0,151364864,2797340,0,0.01690954083035469,,,
peking547-b100000-transactional-t8,r1-peking547-b100000-transactional-t8,21,11,0.12757952163985573,15.14726396040483,105.833,57.4277,2304963,7680,412,412,412,173,0,79672,69987,5327,26937776,429077,1,0.05364583333333333,1.0,0.4199029126213592,6.724122652876794
peking547-b100000-transactional-t8,r2-peking547-b100000-transactional-t8,21,11,0.12451156764137282,14.499772852117365,102.6745,53.5893,2304963,7680,412,412,412,173,0,79672,69987,5327,26937776,429077,1,0.05364583333333333,1.0,0.4199029126213592,6.6022128225725485
peking547-b100000-transactional-t8,r3-peking547-b100000-transactional-t8,21,11,0.12523651159293928,14.672963575883346,104.9865,53.4812,2304963,7680,412,412,412,173,0,79672,69987,5327,26937776,429077,1,0.05364583333333333,1.0,0.4199029126213592,6.694917913445125
peking547-b200000-transactional-t8,r1-peking547-b200000-transactional-t8,21,9,0.018785155101467804,22.024300469292534,88.1274,103.53880000000001,4368289,15360,1114,1114,1114,522,0,412142,355191,48240,26983753,786401,1,0.07252604166666667,1.0,0.46858168761220825,22.072074673292214
peking547-b200000-transactional-t8,r2-peking547-b200000-transactional-t8,21,9,0.018894112485098938,22.094833585951065,92.0067,102.1254,4368289,15360,1114,1114,1114,522,0,412142,355191,48240,26983753,786401,1,0.07252604166666667,1.0,0.46858168761220825,22.063821449888632
peking547-b200000-transactional-t8,r3-peking547-b200000-transactional-t8,21,9,0.019775338305503834,23.10652224222819,88.5899,113.3049,4368289,15360,1114,1114,1114,522,0,412142,355191,48240,26983753,786401,1,0.07252604166666667,1.0,0.46858168761220825,21.941062061134268
peking547-b50000-transactional-t8,r1-peking547-b50000-transactional-t8,21,10,0.10375464182905475,8.21514015197754,54.6307,25.8646,1190653,3840,308,308,308,145,0,28580,23551,4127,26960324,469533,1,0.08020833333333334,1.0,0.4707792207792208,7.905577326801959
peking547-b50000-transactional-t8,r2-peking547-b50000-transactional-t8,21,10,0.10895153998793505,8.72861020565033,60.0423,25.3907,1190653,3840,308,308,308,145,0,28580,23551,4127,26960324,469533,1,0.08020833333333334,1.0,0.4707792207792208,7.913068579426173
peking547-b50000-transactional-t8,r3-peking547-b50000-transactional-t8,21,10,0.1077700088833552,8.507299947738648,55.298500000000004,27.8914,1190653,3840,308,308,308,145,0,28580,23551,4127,26960324,469533,1,0.08020833333333334,1.0,0.4707792207792208,7.843212036389083
